Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Chapitre, Type, Conserver, Revoir,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Notes
540,nin,non,nin,nin,nin,nin,nin,ni,4,glose,Non, Non,1,2,1,1,1,1,1,1,
541,sus,sus,sus,sus,sus,los,sus,sus,4,glose,Non, Non,1,1,1,1,1,2,1,1,
542,tractaualos,traýalos,tractávalos,tratávalos,traýalos,travajávalos,trabajávalos,tractaualos,4,glose,Oui, Non,3,1,3,3,1,2,2,3,
543,guardauase,guardávase,guardávase,guardávasse,guardávase,guardávase,guardávase,guardauase,4,glose,Non, Non,1,2,2,1,2,2,2,1,
544,avn,aun,aún,ø,aún,aun,aún,avn,4,glose,Non, Non,1,2,2,0,2,2,2,1,
545,ø,ninguno,ø,castigo,ninguno,castigo,ø,castigo,4,glose,Non, Non,0,2,0,1,2,1,0,1,
546,quales,quales,que,quales,quales,quales,quales,quales,4,glose,Non, Non,1,1,2,1,1,1,1,1,
547,Este,éste,éste,Éste,este,este,éste,Este,4,glose,Non, Non,1,1,1,2,1,1,1,1,
548,amaualos,amávalos,amávalos,amávalos,amávalos,amávalos,amávalos,amaualos,4,glose,Non, Non,2,1,1,1,1,1,1,2,
549,en,entró,en,en,en,en,entró,en,4,glose,Non, Non,1,2,1,1,1,1,2,1,
550,los,los,los,les,los,los,los,los,4,glose,Non, Non,1,1,1,2,1,1,1,1,
551,vençido,vengado,vençido,vençido,vengado,vengado,vengado,vencido,4,glose,Oui, Non,1,2,1,1,2,2,2,1,
552,troxo,traxo,troxo,troxo,traxo,tomó,troxo,truxo,4,glose,Oui, Non,2,2,2,2,2,1,2,2,
553,sy,sý,sý,ssý,sí,sý,sý,si,4,glose,Non, Non,2,2,2,1,2,2,2,2,
554,fizo,fízolos,fízolos,fízolos,fízolos,fízolos,fízolos,fizolos,4,glose,Non, Non,2,1,1,1,1,1,1,1,
555,ha,a,ha,ha,ha,ay,ha,pa,4,glose,Non, Non,1,1,1,1,1,1,1,2,
556,mas,más,más,más,más,más,non,mas,4,glose,Non, Non,1,1,1,1,1,1,2,1,
557,a,a,a,a,a,asý,asý,asi,4,glose,Non, Non,2,2,2,2,2,1,1,1,
558,desto,esto,desto,desto,desto,desto,desto,desto,4,glose,Non, Non,1,2,1,1,1,1,1,1,
559,los,ø,los,xix°,ø,ø,xix°,los,4,glose,Non, Non,1,0,1,2,0,0,2,1,
560,xix,xix,xix,ø,xix,xix,ø,nueue,4,glose,Non, Non,2,2,2,0,2,2,0,1,
561,por,por,por,por,por,los,por,por,4,glose,Non, Non,1,1,1,1,1,2,1,1,
562,amor,amor,amor,amor,amor,suyos,ende,amor,4,glose,Non, Non,3,3,3,3,3,2,1,3,
563,que,que,que,que,que,que,nin,que,4,glose,Non, Non,1,1,1,1,1,1,2,1,
564,dineros,dineros,dineros,dineros,dineros,dones,dineros,dineros,4,glose,Oui, Non,1,1,1,1,1,2,1,1,
565,dones,dones,dones,dones,dones,dineros,dones,dones,4,glose,Oui, Non,1,1,1,1,1,2,1,1,
566,te,te,te,te,te,te,que,te,4,glose,Non, Non,1,1,1,1,1,1,2,1,
567,dineros,dineros,dineros,dineros,dezir,dineros,dineros,dineros,4,glose,Non, Non,2,2,2,2,1,2,2,2,
568,auentura,aventura,aventura,aventura,cuenta,aventura,aventura,auentura,4,glose,Oui, Non,1,1,1,1,2,1,1,1,
569,e,o,e,o,o,o,o,o,4,glose,Non, Non,2,1,2,1,1,1,1,1,
570,faze,faze,faze,faze,está,ø,ø,faze,4,glose,Non, Non,1,1,1,1,2,0,0,1,
571,apareiado,aparejado,aparejado,aparejado,aparejado,aparejado,aparejado,aparejado,4,glose,Non, Non,2,1,1,1,1,1,1,1,
572,donde,do,donde,donde,do,do,do,donde,4,glose,Non, Non,2,1,2,2,1,1,1,2,
573,le,nol,le,le,le,le,le,le,4,glose,Non, Non,1,2,1,1,1,1,1,1,
574,mientes,mientes,mientes,mientes,miedo,mientes,mientes,mientes,4,glose,Oui, Non,2,2,2,2,1,2,2,2,
575,a,a,a,a,a,al,a,a,4,glose,Non, Non,1,1,1,1,1,2,1,1,
576,mal,más,mal,mal,mal,mal,mal,mal,4,glose,Non, Non,1,2,1,1,1,1,1,1,
577,tomemoslo,tenemosle,tomemoslo,tomémoslo,tenémosle,tomémoslo,tomemoslo,tomemoslo,4,glose,Non, Non,1,2,1,3,2,3,1,1,
578,para,para,para,para,para,para,nóspara,para,4,glose,Non, Non,1,1,1,1,1,1,2,1,
579,seteno,vii°,seteno,vij°,vii°,vii,vii°,seteno,4,glose,Non, Non,3,2,3,2,2,1,2,3,
580,al,capítulo,al,ø,capítulo,capítulo,capítulo,al,4,glose,Non, Non,2,1,2,0,1,1,1,2,
581,añade,entiende,añade,añade,entyende,añade,añade,añade,4,glose,Oui, Non,2,1,2,2,1,2,2,2,
582,el,el,el,el,quel,el,el,el,4,glose,Non, Non,2,2,2,2,1,2,2,2,
583,por,por,por,por,por,por,pora,por,4,glose,Non, Non,1,1,1,1,1,1,2,1,
584,desto,desto,desto,desto,desto,desto,deste,desto,4,glose,Non, Non,1,1,1,1,1,1,2,1,
585,reprendio,rreprehendió,reprehendió,reprehendió,rreprehendió,rreprehendió,reprehendió,reprehendio,4,glose,Non, Non,1,1,1,1,1,1,1,2,
586,esta,esta,este,esta,la,esta,esta,esta,4,glose,Non, Non,1,1,2,1,3,1,1,1,
587,tal,tal,tal,tal,atal,tal,tal,tal,4,glose,Non, Non,2,2,2,2,1,2,2,2,
588,vasallos,vasallos,cavallos,vassallos,vasallos,vasallos,vasallos,vasallos,4,glose,Oui, Non,2,2,1,2,2,2,2,2,
589,en,con,en,con,con,con,con,en,4,glose,Non, Non,2,1,2,1,1,1,1,2,
590,el,el,el,el,quel,el,quel,el,4,glose,Non, Non,2,2,2,2,1,2,1,2,
591,dador,dador,dador,dador,dado,dador,dador,dador,4,glose,Non, Non,2,2,2,2,1,2,2,2,
592,con,de,con,ø,de,de,de,con,4,glose,Non, Non,1,2,1,0,2,2,2,1,
593,cobdiçia,cubdiçia,cobdiçia,codiçiando,cobdiçia,cobdiçia,cobdiçia,cobdicia,4,glose,Non, Non,2,2,2,1,2,2,2,2,
594,conujeneles,conviene,conviéneles,conviéneles,conviene,conviene,conviene,conuieneles,4,glose,Non, Non,1,2,1,1,2,2,2,1,
595,a,capítulo,a,ø,capítulo,capítulo,capítulo,a,4,glose,Non, Non,2,1,2,0,1,1,1,2,
596,.xxviij.,xxviii°,xxviii°,xx°viij°,xxviii°,xviii°,xxviii°,.xxviij.,4,glose,Non, Non,1,2,2,2,2,3,2,1,
597,do,Do,do,do,do,do,do,do,4,glose,Non, Non,1,2,1,1,1,1,1,1,
598,deste,deste,deste,deste,deste,esto,deste,deste,4,glose,Non, Non,1,1,1,1,1,2,1,1,
599,tomo,tomó,tomó,toda,tomó,tomó,tomó,tomo,4,glose,Non, Non,2,3,3,1,3,3,3,2,
600,vn,aun,un,un,un,un,un,vn,4,glose,Non, Non,1,2,3,3,3,3,3,1,
601,los,los,los,los,a,los,los,los,4,glose,Non, Non,2,2,2,2,1,2,2,2,
602,Ca,ca,Ca,ca,ca,que,ca,Ca,4,glose,Non, Non,2,2,2,2,2,1,2,2,
603,conplir,conplir,conplir,cunplir,sofrir,conplir,conplir,cunplir,4,glose,Non, Non,2,2,2,2,1,2,2,2,
604,armadas,derramadas,armadas,armadas,derramadas,armadas,armadas,armadas,4,glose,Oui, Non,2,1,2,2,1,2,2,2,
605,e,nin,e,e,e,e,e,e,4,glose,Non, Non,1,2,1,1,1,1,1,1,
606,por,por,por,por,porque,por,por,por,4,glose,Non, Non,2,2,2,2,1,2,2,2,
607,costreñjdos,costreñidos,costreñidos,costreñidos,costreñidos,estreñidos,costrenidos,costreñidos,4,glose,Non, Non,3,1,1,1,1,2,1,1,
608,alli,allí,así,allí,allí,allý,allí,alli,4,glose,Non, Non,2,2,1,2,2,2,2,2,
609,el,el,el,el,el,el,quel,el,4,glose,Non, Non,1,1,1,1,1,1,2,1,
610,asi,asý,así,así,sí,asý,asý,asi,4,glose,Non, Non,1,1,1,1,2,1,1,1,
611,queriendolos,queriéndolos,queriéndolos,queriéndolos,queriéndoles,queriéndolos,queriéndolos,queriendolos,4,glose,Non, Non,1,1,1,1,2,1,1,1,
612,mostrandolos,mostrándoles,mostrándoles,mostrándoles,mostrándoles,mostrándoles,mostrándoles,mostrandoles,4,glose,Non, Non,2,1,1,1,1,1,1,1,
613,ochauo,viii°,octavo,viij°,viii°,viii°,viii°,octauo,4,glose,Non, Non,1,2,2,2,2,2,2,2,
614,libro,libro,libro,lib°,libro,libro,libro,libro,4,glose,Non, Non,1,1,1,2,1,1,1,1,
615,temistodes,Tenuscades,Timestodes,Temistodes,Tenustades,Timotedes,,temistodes,4,glose,Non, Non,1,4,2,1,5,3,1,1,
616,sus,sus,sus,sus,los,sus,sus,sus,4,glose,Non, Non,2,2,2,2,1,2,2,2,
617,por,porque,porque,porque,porque,porque,porque,porque,4,glose,Non, Non,2,1,1,1,1,1,1,1,
618,mayor,mayor,mayor,mayor,mejor,mayor,mayor,mayor,4,glose,Non, Non,2,2,2,2,1,2,2,2,
619,enperador,enparador,enperador,enperador,enperador,enperador,enperador,emperador,4,glose,Non, Non,1,2,1,1,1,1,1,1,
620,veinte,ø,,veynte,veynte,veynte,veynte,veynte,4,glose,Non, Non,1,0,1,2,2,2,2,2,
621,dos,xxii,dos,dos,dos,dos,dos,dos,4,glose,Non, Non,1,2,1,1,1,1,1,1,
622,lenguas,lenguajes,lenguas,lenguas,lenguajes,lenguajes,lenguas,lenguas,4,glose,Non, Non,2,1,2,2,1,1,2,2,
623,enel,en,en,en,en,en,en,en,4,glose,Non, Non,2,1,1,1,1,1,1,1,
624,interpetrador,interpetrador,entrepetrador,,entrepetador,yntrepetador,yntrepetrador,interpetrador,4,glose,Non, Non,1,1,1,1,1,1,1,1,
625,terçera,iii°,iiii°,iij°,terçera,terçera,iii,tercera,4,glose,Non, Non,1,1,3,1,1,1,2,1,
626,es,e,es,es,es,es,es,es,4,glose,Non, Non,1,2,1,1,1,1,1,1,
627,les,les,les,les,los,les,les,les,4,glose,Non, Non,2,2,2,2,1,2,2,2,
628,ayudaria,ayudarié,ayudaría,ayudaría,ayudará,ayudaría,cuydaría,ayudaria,4,glose,Oui, Non,3,3,3,3,2,3,1,3,
629,quarta,iiii°,iii°,iiij°,iiii°,quarta,iiii,quarta,4,glose,Non, Non,3,3,1,3,3,3,2,3,
630,desta,desta,desta,desta,esta,desta,desta,desta,4,glose,Non, Non,2,2,2,2,1,2,2,2,
631,Ca,Ca,que,ca,ca,ca,ca,ca,4,glose,Non, Non,2,2,1,2,2,2,2,2,
632,verdadera,verdadera,verdadera,verdadera,grant,verdadera,verdadera,verdadera,4,glose,Oui, Non,2,2,2,2,1,2,2,2,
633,firme,firme,fyrme,firme,verdadera,firme,firme,firme,4,glose,Oui, Non,1,1,1,1,2,1,1,1,
634,que,quél,que,que,que,que,quél,que,4,glose,Non, Non,1,2,1,1,1,1,2,1,
635,teronomio,De,,de,Deuteronomio,Deuteronómino,Deuteronomio,deuteronomio,4,glose,Non, Non,2,4,1,4,2,3,2,2,
636,a,Nomio,a,ø,ø,ø,ø,a,4,glose,Non, Non,2,1,2,0,0,0,0,2,
637,los,capítulo,los,ø,ø,ø,ø,los,4,glose,Non, Non,1,2,1,0,0,0,0,1,
638,les,los,les,le,los,los,les,les,4,glose,Non, Non,1,2,1,3,2,2,1,1,
639,en,en,a,en,en,a,en,en,4,glose,Non, Non,1,1,2,1,1,2,1,1,
640,ante,ante,antel,ante,ante,antel,antel,ante,4,glose,Non, Non,1,1,2,1,1,2,2,1,
641,que,que,que,que,que,ca,que,que,4,glose,Non, Non,1,1,1,1,1,2,1,1,
642,nos,nós,vos,vos,vos,nós,nós,nos,4,glose,Non, Non,1,1,2,2,2,1,1,1,
643,nos,nos,nos,nos,vos,nos,nos,nos,4,glose,Non, Non,2,2,2,2,1,2,2,2,
644,nos,nos,nos,nos,vos,nos,nos,nos,4,glose,Non, Non,2,2,2,2,1,2,2,2,
645,ø,que,ø,ø,que,que,que,de,4,glose,Non, Non,0,1,0,0,1,1,1,2,
646,arbogaste,Arlogaste,Arbogaste,,Arlogaste,arbogaste,Arbogaste,Arbogaste,4,glose,Non, Non,2,1,2,3,1,2,2,2,
647,que,quel,que,que,que,que,que,que,4,glose,Non, Non,1,2,1,1,1,1,1,1,
648,el,él,él,él,quél,él,él,el,4,glose,Non, Non,1,1,1,1,2,1,1,1,
649,le,quel,le,le,le,le,le,le,4,glose,Non, Non,1,2,1,1,1,1,1,1,
650,e,e,e,e,ø,a,e,e,4,glose,Non, Non,2,2,2,2,0,1,2,2,
651,metiose,metióse,metióse,metiósse,metióse,metióse,metióse,metio,4,glose,Non, Non,1,1,1,1,1,1,1,2,
652,en,en,en,en,ne,en,en,en,4,glose,Non, Non,2,2,2,2,1,2,2,2,
653,fiuza,fuzia,fiuza,fuzia,fiuza,ayuda,fiuza,fiuza,4,glose,Oui, Non,2,2,2,2,2,1,2,2,
654,su,su,su,su,su,la,su,su,4,glose,Non, Non,1,1,1,1,1,2,1,1,
655,persigio,persiguió,perseguió,persiguió,sigió,persiguió,persyguió,persiguio,4,glose,Non, Non,1,1,1,1,2,1,1,1,
656,lo,le,le,le,lo,lo,lo,lo,4,glose,Non, Non,1,2,2,2,1,1,1,1,
657,dellos,dellos,dellos,dellos,dellos,dellos,dellas,dellos,4,glose,Non, Non,1,1,1,1,1,1,2,1,
658,v°,v,v°,v°,v,v,ø,quinto,5,,Non, Non,2,3,2,2,3,3,NA,1,
659,e,o,ø,e,e,e,ø,e,5,,Non, Non,2,1,0,2,2,2,NA,2,
660,e,e,e,e,o,o,ø,e,5,,Non, Non,2,2,2,2,1,1,NA,2,
661,ø,ø,ø,ø,n,C,ø,ø,5,traduction,Non, Non,0,0,0,0,2,1,NA,0,
662,ø,onviene ,ø,ø,Conviene,onviene,ø,ø,5,traduction,Non, Non,0,1,0,0,1,2,NA,0,
663,este,este,este,este,este,este,ø,aqueste,5,traduction,Non, Non,1,1,1,1,1,1,NA,2,
664,e,e,et,e,e,o,ø,e,5,traduction,Non, Non,3,3,2,3,3,1,NA,3,
665,condiciones,condiçiones,condiçiones,condiçiones,condiçiones,conclusiones,ø,condiciones,5,traduction,Non, Non,2,2,2,2,2,1,NA,2,
666,que,que,porque,porque,ø,porque,ø,porque,5,traduction,Non, Non,1,1,2,2,0,2,NA,2,
667,esTtos,éstos,estos,éstos,ø,éstos,ø,estos,5,traduction,Non, Non,1,3,2,3,0,3,NA,2,
668,terçero,iii°,ø,iij°,segundo,terçero,ø,tercero,5,traduction,Non, Non,3,3,0,3,2,3,NA,1,
669,quarto,iiii°,iij°,iiij°,terçero,quarto,ø,quarto,5,traduction,Non, Non,3,2,4,1,4,3,NA,3,
670,porque,porque,porque,porque,porque,porque,ø,por,5,traduction,Non, Non,1,1,1,1,1,1,NA,2,
671,del,del,de,del,del,del,ø,del,5,traduction,Non, Non,1,1,2,1,1,1,NA,1,
672,yazer,yazer,yazer,yazer,fazer,yazer,ø,yazer,5,traduction,Oui, Non,2,2,2,2,1,2,NA,2,
673,e,e,e,e,e,o,ø,e,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
674,quinto,v°,v°,v°,iiii°,quinto,ø,quinto,5,traduction,Non, Non,1,2,2,2,3,1,NA,1,
675,sesto,vi°,vi°,vj°,quinto,sesto,ø,sexto,5,traduction,Non, Non,4,2,2,2,1,4,NA,3,
676,estos,rresçelan,éstos,éstos,rreçelan,éstos,ø,estos,5,traduction,Non, Non,2,1,3,3,1,3,NA,2,
677,que,que,que,que,que,Et,ø,que,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
678,otras,otras,otras,otras,estas,otras,ø,otras,5,traduction,Non, Non,2,2,2,2,1,2,NA,2,
679,de,de,de,de,de,del,ø,de,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
680,toman,toman,,toman,toman,toman,ø,toman,5,traduction,Non, Non,1,1,2,1,1,1,NA,1,
681,fijos~de~algo,fijosdalgo,fijosdalgo,fijosdalgo,fijosdalgo,fijosdalgo,ø,fijosdalgo,5,traduction,Non, Non,2,1,1,1,1,1,NA,1,
682,por,por,por,por,por,para,ø,por,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
683,ethicas,Éthicas,Éthicas,Éthicas,Éticas,Éticas,ø,ethicas,5,traduction,Non, Non,1,2,2,2,3,3,NA,1,
684,envergoncarme,envergonçarme,envergonçarme,envergoñarme,envergonçarme,envergonçarme,ø,envergonçarme,5,traduction,Non, Non,2,2,2,1,2,2,NA,2,
685,esto,eso,esto,esto,Eso,esto,ø,esto,5,traduction,Non, Non,2,1,2,2,1,2,NA,2,
686,fizo,fizo,fizo,fizo,dize,fizo,ø,fizo,5,traduction,Non, Non,2,2,2,2,1,2,NA,2,
687,fuerte,fuerte,fuerte,fuerte,fuerte,buen,ø,fuerte,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
688,en,en,en,entra,en,en,ø,en,5,traduction,Oui, Non,1,1,1,2,1,1,NA,1,
689,troya,Troya,Troya,ya,Troya,Troya,ø,troya,5,traduction,Non, Non,2,2,2,1,2,2,NA,2,
690,esto,esto,dél,esto,esto,esto,ø,esto,5,traduction,Non, Non,1,1,2,1,1,1,NA,1,
691,deshonrra,desonrra,ø,desonrra,desonrra,verguença,ø,desonrra,5,traduction,Oui, Non,1,1,0,1,1,2,NA,1,
692,por,por,Por,Por,Con,por,ø,por,5,traduction,Non, Non,1,1,1,1,2,1,NA,1,
693,del,de,del,del,del,del,ø,del,5,traduction,Non, Non,1,2,1,1,1,1,NA,1,
694,Ca,Et,Ca,Ca,e,Et,ø,ca,5,traduction,Non, Non,3,1,3,3,2,1,NA,3,
695,algunas,algunas,algunas,algunas,algunas,las,ø,algunas,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
696,de,de,de,de,de,de,ø,del,5,traduction,Non, Non,1,1,1,1,1,1,NA,2,
697,fijos~de~algo,fijosdalgo,fijosdalgo,fijosdalgo,fijosdalgo,fijosdalgo,ø,fijosdalgo,5,traduction,Non, Non,2,1,1,1,1,1,NA,1,
698,batallas,batallas,batallas,batallas,lidiar,fazienda,ø,batallas,5,traduction,Oui, Non,1,1,1,1,3,2,NA,1,
699,ver,saber,ver,ver,veer,ver,ø,ver,5,traduction,Oui, Non,2,1,2,2,2,2,NA,2,
700,Ca,Ca,Et,Ca,que,Ca,ø,ca,5,traduction,Non, Non,3,3,1,3,2,3,NA,3,
701,de,a,de,de,de,de,ø,de,5,traduction,Non, Non,1,2,1,1,1,1,NA,1,
702,de,de,de,do,de,do,ø,do,5,traduction,Non, Non,1,1,1,2,1,2,NA,2,
703,o,e,o,o,e,nin,ø,o,5,traduction,Non, Non,1,3,1,1,3,2,NA,1,
704,que,que,que,que,que,,ø,que,5,traduction,Non, Non,1,1,1,1,1,2,NA,1,
705,Ca,ca,Ca,ca,que,,ø,ca,5,traduction,Non, Non,2,2,2,2,1,2,NA,2,
706,leuar,ajobar,levar,levar,ajobar,agobar,ø,leuar,5,traduction,Oui, Non,3,2,3,3,2,1,NA,3,
707,cauallos,cavallos,cavallos,cauallos,cavallos,cavalleros,ø,cauallos,5,traduction,Oui, Non,1,1,1,1,1,2,NA,1,
708,de,de,de,de,e,de,ø,de,5,traduction,Non, Non,2,2,2,2,1,2,NA,2,
709,cauallos,cavallos,cavallos,cavallos,cavalleros,cavalleros,ø,cauallos,5,traduction,Oui, Non,1,1,1,1,2,2,NA,1,
710,fijosdalgo,fijosdalgo,fijosdalgo,fijosdalgo,fijosdalgo,nobles,ø,fijosdalgo,5,traduction,Oui, Non,1,1,1,1,1,2,NA,1,
711,nobles,nobles,nobles,nobles,nobles,fijosdalgo,ø,nobles,5,traduction,Oui, Non,1,1,1,1,1,2,NA,1,
712,njñez,niñes,niñes,niñez,manos,ninez,ø,niñez,5,traduction,Oui, Non,3,1,1,1,2,1,NA,1,
713,condiciones,condiçiones,condiçiones,condiçiones,condiçiones,costunbres,ø,condiciones,5,traduction,Oui, Non,2,2,2,2,2,1,NA,2,
714,puso,puso,puso,puso,dixo,puso,ø,puso,5,traduction,Non, Non,2,2,2,2,1,2,NA,2,
715,deuense,dévense,dévense,deven,dévense,dévense,ø,deuense,5,traduction,Non, Non,2,1,1,3,1,1,NA,2,
716,afanes,afanes,afanes,afanes,a,afanes,ø,afanes,5,traduction,Non, Non,2,2,2,2,1,2,NA,2,
717,sy,sý,sý,sí,sí,sý,ø,si,5,glose,Non, Non,2,1,1,1,1,1,NA,1,
718,tremor,tremor,tremor,tremor,tremor,tremor,ø,tremora,5,glose,Non, Non,1,1,1,1,1,NA,NA,2,Changement de source pour R
719,acometeria,acometerié,acometería,acometería,acometería,cometería,ø,acometeria,5,glose,Non, Non,2,2,2,2,2,NA,NA,2,
720,desconoçieron,desconosçieron,desconosçieron,desconoçieron,desconoçieron,conosçieron,ø,desconoscieron,5,glose,Non, Non,1,1,1,1,1,NA,NA,1,
721,Onde,Onde,Onde,Onde,do,Onde,ø,Onde,5,glose,Non, Non,2,2,2,2,1,NA,NA,2,
722,africa,África,África,África,África,África,ø,africa,5,glose,Non, Non,2,1,1,1,1,NA,NA,2,
723,africa,África,África,África,África,África,ø,africa,5,glose,Non, Non,2,1,1,1,1,NA,NA,2,
724,que,quel,que,que,que,que,ø,que,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
725,quan,quán,que,quán,quán,quand,ø,quan,5,glose,Non, Non,3,3,2,3,3,NA,NA,3,
726,ytalianos,Ytálicos,Ytalianos,Ytalianos,Ytalianos,Ytalianos,ø,ytalianos,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
727,que,quel,que,que,que,que,ø,que,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
728,que,que,que,que,que,quél,ø,que,5,glose,Non, Non,1,1,1,1,1,NA,NA,1,
729,sobrel,sobre,sobre,sobre,sobrél,sobrél,ø,sobre,5,glose,Non, Non,2,1,1,1,2,NA,NA,1,
730,enbiaronlo,enbiáronle,enbiaronlo,enbiáronlo,enbiaronlo,enbiaronlo,ø,embiaronlo,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
731,de,de,de,de,e,de,ø,de,5,glose,Non, Non,2,2,2,2,1,NA,NA,2,
732,oraçion,oraçión,oraçión,oraçión,osaçión,oraçión,ø,oracion,5,glose,Non, Non,2,2,2,2,1,NA,NA,2,
733,iḣu,Ihesú,Iesúcristo,ihesú,Jhu,Jhesú,ø,jesu,5,glose,Non, Non,3,2,4,2,1,NA,NA,2,
734,con,a,con,con,con,con,ø,con,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
735,para,para,para,para,a,para,ø,para,5,glose,Non, Non,2,2,2,2,1,NA,NA,2,
736,con,contra,con,con,contra,con,ø,con,5,glose,Non, Non,2,1,2,2,1,NA,NA,2,
737,a,a,e,a,a,a,ø,a,5,glose,Non, Non,1,1,2,1,1,NA,NA,1,
738,que,quel,que,que,que,que,ø,que,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
739,acometio,acometió,acometió,acometió,acometió,cometió,ø,acometio,5,glose,Non, Non,2,2,2,2,2,NA,NA,2,
740,cinquenta,çinquenta,çincuenta,çincuenta,çinquenta,çinquanta,ø,cinquenta,5,glose,Non, Non,2,1,1,1,1,NA,NA,2,
741,ochentamil,ochenta,ochenta,ochenta,ochenta,ochenta,ø,ochentamil,5,glose,Non, Non,2,1,1,1,1,NA,NA,2,
742,subiudgolos,sujudgólos,sojudgólos,subjugólos,sojudgó,sojudgólos,ø,subjuzgolos,5,glose,Non, Non,2,2,2,2,3,NA,NA,1,
743,de,de,a,a,de,a,ø,de,5,glose,Non, Non,1,1,2,2,1,NA,NA,1,
744,afogado,afogado,afogado,afogado,afogado,afogado,ø,ahogado,5,glose,Non, Non,1,1,1,1,1,NA,NA,2,
745,e,e,o,e,e,e,ø,e,5,glose,Non, Non,1,1,2,1,1,NA,NA,1,
746,de,de,de,de,e,de,ø,de,5,glose,Non, Non,2,2,2,2,1,NA,NA,2,
747,eso,eso,esto,esso,eso,eso,ø,esso,5,glose,Non, Non,1,1,2,1,1,NA,NA,1,
748,papa,papa,papa,papa,papa,paso,ø,papa,5,glose,Non, Non,1,1,1,1,1,NA,NA,1,
749,que,quél,que,que,quél,que,ø,que,5,glose,Non, Non,2,1,2,2,1,NA,NA,2,
750,demando,mandó,demandó,demandó,mandó,demandó,ø,demando,5,glose,Oui, Non,2,1,2,2,1,NA,NA,2,
751,fue,ø,se,se,ø,se,ø,fue,5,glose,Non, Non,1,0,2,2,0,NA,NA,1,
752,el,quel,el,el,el,el,ø,el,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
753,al,el,al,al,al,al,ø,al,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
754,lo,le,lo,lo,le,le,ø,lo,5,glose,Non, Non,2,1,2,2,1,NA,NA,2,
755,que,quel,que,que,que,que,ø,que,5,glose,Non, Non,1,2,1,1,1,NA,NA,1,
756,mando,mandó,mandó,demandó,mandó,demandó,ø,mando,5,glose,Oui, Non,1,1,1,2,1,NA,NA,1,
757,en,en,en,en,de,en,ø,en,5,glose,Non, Non,2,2,2,2,1,NA,NA,2,
758,o,e,e,e,e,e,ø,e,5,glose,Non, Non,2,1,1,1,1,NA,NA,1,
759,demandaua,demanda,demandava,demandava,mandava,demandava,ø,daua,5,glose,Oui, Non,4,2,4,4,3,NA,NA,1,
760,de,quel,de,ø,que,de,ø,de,5,glose,Non, Non,2,1,2,0,3,NA,NA,2,
761,de,demandado,de,de,demandado,de,ø,de,5,glose,Non, Non,2,1,2,2,1,NA,NA,2,
762,vj°,vi,vi°,vi°,vi,vi,ø,sexto,6,,Non, Non,3,2,3,3,2,NA,NA,1,
763,do,do,do,do,do,que,ø,do,6,,Non, Non,1,1,1,1,1,NA,NA,1,
764,vso,uso,uso,uso,uso,libro,ø,vso,6,,Non, Non,1,1,1,1,1,NA,NA,1,
765,de,e,de,de,de,de,ø,de,6,,Non, Non,1,2,1,1,1,NA,NA,1,
766,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ordenadamente,hordenadamente,ø,ordenadamente,6,,Non, Non,1,1,1,1,1,NA,NA,1,Fin changement de source pour R
767,vso,uso,uso,uso,uso,uso,ø,vso,6,,Non, Non,2,1,1,1,1,1,NA,2,
768,de,del,del,de,de,de,ø,de,6,,Non, Non,1,2,2,1,1,1,NA,1,
769,ø,notar,ø,ø,saber,ø,ø,ø,6,traduction,Non, Non,0,1,0,0,2,0,NA,0,
770,poder,orden,orden,orden,orden,orden,ø,poder,6,traduction,Non, Non,2,1,1,1,1,1,NA,2,
771,Ca,ca,Ca,Ca,que,Ca,ø,ca,6,traduction,Non, Non,2,2,2,2,1,2,NA,2,
772,dos,dos,dos,dos,muchos,dos,ø,dos,6,traduction,Non, Non,2,2,2,2,1,2,NA,2,
773,e,a,Et,e,e,et,ø,e,6,traduction,Non, Non,2,1,3,2,2,3,NA,2,
774,y,ý,ý,ý,aquí,ý,ø,y,6,traduction,Non, Non,2,2,2,2,1,2,NA,2,
775,enel,en,en,en,en,en,ø,en,6,traduction,Non, Non,2,1,1,1,1,1,NA,1,
776,tan,tanbién,tanbién,tanbién,tanbién,tanbién,ø,tan,6,traduction,Non, Non,2,1,1,1,1,1,NA,2,
777,de,a,de,de,a,a,ø,de,6,traduction,Non, Non,2,1,2,2,1,1,NA,2,
