A,B,G,J,Q,R,Z,U,Analyse, Chapitre, Type, Conserver, Revoir
12422,son,son,son,son,son,son,son,ø,#not_apparat,7,glose,Non, Non
12423,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12424,ofiçios,ofiçios,ofiçios,ofiçios,ofiçios,ofiçios,officios,ø,#graphique,7,glose,Non, Non
12425,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12426,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12427,caualleros,cavalleros,cavalleros,cavalleros,cavalleros,cavalleros,caualleros,ø,#graphique,7,glose,Non, Non
12428,E,e,Et,e,et,et,E,ø,#filtre,7,glose,Non, Non
12429,dize,dize,dize,dize,dize,dize,dize,ø,#not_apparat,7,glose,Non, Non
12430,que,que,que,que,ø,que,que,ø,#omission,7,glose,Non, Non
12431,el,el,el,el,quel,el,el,ø,#lexicale,7,glose,Non, Non
12432,primero,primero,primero,primero,primero,primero,primero,ø,#not_apparat,7,glose,Non, Non
12433,es,es,es,es,es,es,es,ø,#not_apparat,7,glose,Non, Non
12434,ferir,ferir,ferir,ferir,ferir,ferir,ferir,ø,#not_apparat,7,glose,Non, Non
12435,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12436,henemigos,enemigos,enemigos,enemigos,enemigos,enemigos,enemigos,ø,#graphique,7,glose,Non, Non
12437,ø,et,et,E,ø,ø,ø,ø,#omission #filtre,7,glose,Non, Non
12438,El,el,el,el,el,el,El,ø,#graphique,7,glose,Non, Non
12439,segundo,ii°,ii°,ii°,segundo,segundo,segundo,ø,#graphique,7,glose,Non, Non
12440,es,es,es,es,es,es,es,ø,#not_apparat,7,glose,Non, Non
12441,defender,defender,defender,defender,defender,defender,defender,ø,#not_apparat,7,glose,Non, Non
12442,las,las,las,las,las,las,las,ø,#not_apparat,7,glose,Non, Non
12443,tierras,tierras,tierras,tierras,tierras,tierras,tierras,ø,#not_apparat,7,glose,Non, Non
12444,e,e,e,e,e,ø,e,ø,#not_apparat,7,glose,Non, Non
12445,los,los,los,los,los,ø,los,ø,#not_apparat,7,glose,Non, Non
12446,pueblos,pueblos,pueblos,pueblos,pueblos,ø,pueblos,ø,#not_apparat,7,glose,Non, Non
12447,E,et,Et,ø,ø,ø,ø,ø,#omission #filtre,7,glose,Non, Non
12448,el,el,el,el,el,el,El,ø,#graphique,7,glose,Non, Non
12449,terçero,iii°,iii°,terçero,terçero,terçero,tercero,ø,#graphique,7,glose,Non, Non
12450,es,es,es,es,es,ø,es,ø,#omission,7,glose,Non, Non
12451,non,non,non,non,non,non,non,ø,#not_apparat,7,glose,Non, Non
12452,temer,temer,temer,temer,temer,temer,temer,ø,#not_apparat,7,glose,Non, Non
12453,ø,ø,ø,ø,ø,los,ø,ø,#not_apparat,7,glose,Non, Non
12454,ø,ø,ø,ø,ø,pueblos,ø,ø,#not_apparat,7,glose,Non, Non
12455,ø,ø,ø,ø,ø,nin,ø,ø,#not_apparat,7,glose,Non, Non
12456,ninguna,ninguna,ninguna,ninguna,ninguna,nenguna,ninguna,ø,#graphique,7,glose,Non, Non
12457,cosa,cosa,cosa,cosa,cosa,cosa,cosa,ø,#not_apparat,7,glose,Non, Non
12458,del,del,del,del,del,del,del,ø,#not_apparat,7,glose,Non, Non
12459,mundo,mundo,mundo,mundo,mundo,mundo,mundo,ø,#not_apparat,7,glose,Non, Non
12460,sinon,synon,synon,sinon,sinon,synon,synon,ø,#graphique,7,glose,Non, Non
12461,mala,mala,mala,mala,mala,mala,mala,ø,#not_apparat,7,glose,Non, Non
12462,fama,fama,fama,fama,fama,fama,fama,ø,#not_apparat,7,glose,Non, Non
12463,ø,et,Et,ø,ø,ø,ø,ø,#omission #graphique,7,glose,Non, Non
12464,El,el,el,El,El,El,El,ø,#graphique,7,glose,Non, Non
12465,quarto,iiii°,iiii°,iiii°,quarto,quarto,quarto,ø,#graphique,7,glose,Non, Non
12466,es,es,es,es,es,ø,es,ø,#omission,7,glose,Non, Non
12467,sofrir,sofrir,sofrir,sofrir,sofrir,sofrir,sofrir,ø,#not_apparat,7,glose,Non, Non
12468,tanbien,tanbien,tanbien,tanbién,tanbien,tanbien,tanbien,ø,#normalisation,7,glose,Non, Non
12469,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12470,trabaio,trabajo,trabajo,trabajo,travajo,trabajo,trabajo,ø,#graphique,7,glose,Non, Non
12471,del,del,del,del,del,del,del,ø,#not_apparat,7,glose,Non, Non
12472,ynuierrno,invierno,invierno,invierno,ynvierno,ynvierno,ynuierno,ø,#graphique,7,glose,Non, Non
12473,como,commo,commo,commo,commo,commo,como,ø,#morphosyntactique,7,glose,Non, Non
12474,del,del,del,de,del,del,del,ø,#lexicale,7,glose,Non, Non
12475,verano,verano,verano,verano,verano,verano,verano,ø,#not_apparat,7,glose,Non, Non
12476,o,o,o,o,ø,e,o,ø,#omission #lexicale,7,glose,Non, Non
12477,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12478,frio,frío,frío,frío,frío,frío,frio,ø,#normalisation,7,glose,Non, Non
12479,commo,como,commo,commo,commo,commo,como,ø,#morphosyntactique,7,glose,Non, Non
12480,la,la,la,la,la,la,la,ø,#not_apparat,7,glose,Non, Non
12481,calura,calentura,calura,calura,calentura,calentura,calura,ø,#lexicale,7,glose,Non, Non
12482,ø,Et,Et,ø,ø,ø,ø,ø,#omission,7,glose,Non, Non
12483,El,el,el,el,El,El,El,ø,#graphique,7,glose,Non, Non
12484,quinto,v°,v°,v°,quinto,quinto,quinto,ø,#lexicale,7,glose,Non, Non
12485,es,es,es,es,es,es,es,ø,#not_apparat,7,glose,Non, Non
12486,folgar,folgar,folgar,folgar,folgar,folgar,folgar,ø,#not_apparat,7,glose,Non, Non
12487,bien,bien,bien,bien,bien,bien,bien,ø,#not_apparat,7,glose,Non, Non
12488,en,en,en,en,en,en,en,ø,#not_apparat,7,glose,Non, Non
12489,duro,duro,duro,duro,duro,duro,duro,ø,#not_apparat,7,glose,Non, Non
12490,o,o,o,o,o,o,o,ø,#not_apparat,7,glose,Non, Non
12491,ø,en,ø,ø,en,ø,ø,ø,#omission,7,glose,Non, Non
12492,mal,mal,mal,mal,mal,mal,mal,ø,#not_apparat,7,glose,Non, Non
12493,yazer,yazer,yazer,yazer,yazer,yazer,yazer,ø,#not_apparat,7,glose,Non, Non
12494,ø,Et,Et,ø,ø,ø,ø,ø,#omission,7,glose,Non, Non
12495,El,el,el,el,el,El,El,ø,#graphique,7,glose,Non, Non
12496,sesto,vi°,vi°,vi°,sesto,sesto,sexto,ø,#lexicale,7,glose,Non, Non
12497,es,es,es,es,es,es,es,ø,#not_apparat,7,glose,Non, Non
12498,en,en,en,en,en,en,en,ø,#not_apparat,7,glose,Non, Non
12499,tienpo,tienpo,tienpo,tienpo,tienpo,tienpo,tienpo,ø,#not_apparat,7,glose,Non, Non
12500,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12501,la,la,la,la,la,la,la,ø,#not_apparat,7,glose,Non, Non
12502,guerra,guerra,guerra,guerra,guerra,guerra,guerra,ø,#not_apparat,7,glose,Non, Non
12503,sofrir,sofrir,sofrir,sofrir,sofrir,sofrir,sofrir,ø,#not_apparat,7,glose,Non, Non
12504,fanbre,fanbre,fanbre,fanbre,fanbre,fanbre,fanbre,ø,#not_apparat,7,glose,Non, Non
12505,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12506,sed,sed,sed,sed,sed,sed,sed,ø,#not_apparat,7,glose,Non, Non
12507,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12508,frio,frío,frío,frío,frío,frío,frio,ø,#normalisation,7,glose,Non, Non
12509,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12510,calentura,calentura,calentura,calentura,calentura,calentura,calentura,ø,#not_apparat,7,glose,Non, Non
12511,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12512,todos,todos,todos,todos,todos,todos,todos,ø,#not_apparat,7,glose,Non, Non
12513,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12514,otros,otros,otros,otros,otros,otros,otros,ø,#not_apparat,7,glose,Non, Non
12515,trabaios,trabajos,trabajos,trabajos,travajos,trabajos,trabajos,ø,#graphique,7,glose,Non, Non
12516,por,por,por,por,por,por,por,ø,#not_apparat,7,glose,Non, Non
12517,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12518,puedan,pueda,puedan,puedan,pueda,puedan,puedan,ø,#morphosyntactique,7,glose,Non, Non
12519,escusar,escusar,escusar,escusar,escusar,escusar,escusar,ø,#not_apparat,7,glose,Non, Non
12520,muerte,muerte,muerte,muerte,muerte,muerte,muerte,ø,#not_apparat,7,glose,Non, Non
12521,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12522,alcançar,alcançar,alcançar,alcançar,alcançar,alcançar,alcançar,ø,#not_apparat,7,glose,Non, Non
12523,victoria,vitoria,vitoria,victoria,vitorias,vitoria,victoria,ø,#personne,7,glose,Non, Non
12524,E,Et,Et,E,Et,Et,E,ø,#filtre,7,glose,Non, Non
12525,dize,dize,dize,dize,dize,dize,dize,ø,#not_apparat,7,glose,Non, Non
12526,el,él,él,él,él,él,el,ø,#normalisation,7,glose,Non, Non
12527,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12528,estos,éstos,éstos,éstos,estos,éstos,estos,ø,#normalisation,7,glose,Non, Non
12529,son,son,son,son,son,son,son,ø,#not_apparat,7,glose,Non, Non
12530,muy,muy,muy,muy,muy,muy,muy,ø,#not_apparat,7,glose,Non, Non
12531,buenos,buenos,buenos,buenos,buenos,buenos,buenos,ø,#not_apparat,7,glose,Non, Non
12532,e,e,et,e,e,et,e,ø,#filtre,7,glose,Non, Non
12533,ø,muy,ø,ø,muy,muy,ø,ø,#omission,7,glose,Non, Non
12534,honrrados,onrrados,honrrados,onrrados,onrrados,onrrados,honrrados,ø,#graphique,7,glose,Non, Non
12535,officios,ofiçios,ofiçios,offiçios,ofiçios,ofiçios,oficios,ø,#graphique,7,glose,Non, Non
12536,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12537,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12538,tales,tales,tales,tales,tales,tales,tales,ø,#not_apparat,7,glose,Non, Non
12539,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,ø,#not_apparat,7,glose,Non, Non
12540,commo,commo,commo,commo,commo,commo,como,ø,#morphosyntactique,7,glose,Non, Non
12541,estos,éstos,estos,éstos,éstos,éstos,estos,ø,#normalisation,7,glose,Non, Non
12542,deue,deve,deve,deve,deve,deve,deue,ø,#graphique,7,glose,Non, Non
12543,dar,dar,dar,dar,dar,dar,dar,ø,#not_apparat,7,glose,Non, Non
12544,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12545,principe,prínçipe,prínçipe,prínçipe,prínçipe,prínçipe,principe,ø,#graphique,7,glose,Non, Non
12546,ø,e,ø,ø,ø,ø,ø,ø,#omission,7,glose,Non, Non
12547,a,a,a,a,a,a,a,ø,#not_apparat,7,glose,Non, Non
12548,sus,sus,sus,sus,sus,sus,sus,ø,#not_apparat,7,glose,Non, Non
12549,caualleros,cavalleros,cavalleros,cavalleros,cavalleros,cavalleros,caualleros,ø,#graphique,7,glose,Non, Non
12550,E,Et,Et,E,Et,Et,E,ø,#filtre,7,glose,Non, Non
12551,dize,dize,dize,dize,dize,dize,dize,ø,#not_apparat,7,glose,Non, Non
12552,mas,más,más,más,más,más,mas,ø,#normalisation,7,glose,Non, Non
12553,que,que,que,que,ø,que,que,ø,#omission,7,glose,Non, Non
12554,el,e,el,el,quel,el,el,ø,#lexicale,7,glose,Non, Non
12555,cauallero,cavalleros,cavallero,cavallero,cavallero,cavallero,cauallero,ø,#personne,7,glose,Non, Non
12556,delicado,delicado,delicado,delicado,delicado,delicado,delicado,ø,#not_apparat,7,glose,Non, Non
12557,o,o,o,o,o,o,o,ø,#not_apparat,7,glose,Non, Non
12558,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12559,criado,criado,criado,criado,criado,criado,criado,ø,#not_apparat,7,glose,Non, Non
12560,en,en,en,en,en,en,en,ø,#not_apparat,7,glose,Non, Non
12561,viçio,viçio,viçio,viçio,viçio,viçio,vicio,ø,#graphique,7,glose,Non, Non
12562,ø,ø,ø,ø,que,ø,ø,ø,#omission,7,glose,Non, Non
12563,non,non,non,non,non,non,non,ø,#not_apparat,7,glose,Non, Non
12564,vale,vale,vale,vale,vale,vale,vale,ø,#not_apparat,7,glose,Non, Non
12565,nada,nada,nada,nada,nada,nada,nada,ø,#not_apparat,7,glose,Non, Non
12566,para,para,para,para,para,para,para,ø,#not_apparat,7,glose,Non, Non
12567,la,la,la,la,la,la,la,ø,#not_apparat,7,glose,Non, Non
12568,batalla,batalla,batalla,batalla,batalla,batalla,batalla,ø,#not_apparat,7,glose,Non, Non
12569,Ca,ca,ca,ca,ca,ca,Ca,ø,#graphique,7,glose,Non, Non
12570,mas,más,más,más,más,más,mas,ø,#normalisation,7,glose,Non, Non
12571,vale,vale,vale,vale,vale,vale,vale,ø,#not_apparat,7,glose,Non, Non
12572,vn,un,un,un,un,ø,vn,ø,#omission #graphique,7,glose,Non, Non
12573,buen,buen,buen,buen,ø,buen,buen,ø,#omission,7,glose,Non, Non
12574,aldeano,aldeano,aldeano,aldeano,aldeano,aldeano,aldeano,ø,#not_apparat,7,glose,Non, Non
12575,o,o,o,o,o,o,o,ø,#not_apparat,7,glose,Non, Non
12576,vn,un,un,un,un,un,vn,ø,#morphosyntactique,7,glose,Non, Non
12577,labrador,labrador,labrador,labrador,labrador,labrador,labrador,ø,#not_apparat,7,glose,Non, Non
12578,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12579,tal,tal,tal,tal,tal,tal,tal,ø,#not_apparat,7,glose,Non, Non
12580,fidalgo,fidalgo,fidalgo,fidalgo,fidalgo,fidalgo,fidalgo,ø,#not_apparat,7,glose,Non, Non
12581,ø,para,ø,ø,para,ø,ø,ø,#not_apparat,7,glose,Non, Non
12582,ø,la,ø,ø,la,ø,ø,ø,#not_apparat,7,glose,Non, Non
12583,ø,batalla,ø,ø,batalla,ø,ø,ø,#not_apparat,7,glose,Non, Non
12584,E,Et,et,E,Et,Et,E,ø,#filtre,7,glose,Non, Non
12585,alli,allí,allí,allí,allí,allý,alli,ø,#graphique,7,glose,Non, Non
12586,disputa,disputa,disputa,disputa,disputa,disputa,disputa,ø,#not_apparat,7,glose,Non, Non
12587,la,la,la,la,la,la,la,ø,#not_apparat,7,glose,Non, Non
12588,question,questión,questión,questión,questión,questión,question,ø,#normalisation,7,glose,Non, Non
12589,sobredicha,sobredicha,sobredicha,sobredicha,sobredicha,sobredicha,sobredicha,ø,#not_apparat,7,glose,Non, Non
12590,enel,en,en,en,en,en,en,ø,#lexicale,7,glose,Non, Non
12591,ø,el,el,el,el,el,el,ø,#omission,7,glose,Non, Non
12592,quinto,v°,quinto,quinto,ø,quinto,quinto,ø,#omission #lexicale,7,glose,Non, Non
12593,capitulo,capítulo,capítulo,capítulo,capítulo,capítulo,capitulo,ø,#normalisation,7,glose,Non, Non
12594,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12595,determinala,determínala,determínala,determínala,determínala,determínala,determinala,ø,#normalisation,7,glose,Non, Non
12596,segunt,según,segund,segunt,segunt,segund,segund,ø,#graphique,7,glose,Non, Non
12597,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12598,y,ý,ay,ý,ya,ya,y,ø,#lexicale,7,glose,Non, Non
12599,deximos,dixemos,deximos,deximos,dixiemos,deximos,diximos,ø,#graphique,7,glose,Non, Non
12600,E,E,E,e,e,et,E,ø,#filtre,7,glose,Non, Non
12601,dize,dize,dize,dize,dize,dize,dize,ø,#not_apparat,7,glose,Non, Non
12602,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12603,muy,muy,muy,muy,muy,muy,muy,ø,#not_apparat,7,glose,Non, Non
12604,meiores,mejores,mejores,mejores,mejores,mejores,mejores,ø,#graphique,7,glose,Non, Non
12605,ø,son,son,son,son,son,son,ø,#omission,7,glose,Non, Non
12606,para,para,para,para,para,para,para,ø,#not_apparat,7,glose,Non, Non
12607,ø,ø,ø,ø,ø,la,ø,ø,#omission,7,glose,Non, Non
12608,caualleria,cavallería,cavallería,cavallería,cavallería,cavallería,caualleria,ø,#graphique,7,glose,Non, Non
12609,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12610,ø,ø,ø,ø,ø,muy,ø,ø,#omission,7,glose,Non, Non
12611,duros,duros,duros,duros,duros,duros,duros,ø,#not_apparat,7,glose,Non, Non
12612,ø,ø,e,e,e,e,e,ø,#omission,7,glose,Non, Non
12613,acostunbrados,acostunbrados,acostunbrados,acostunbrados,acostunbrados,acostunbrados,acostunbrados,ø,#not_apparat,7,glose,Non, Non
12614,en,en,en,en,en,en,en,ø,#not_apparat,7,glose,Non, Non
12615,todos,todos,todos,todos,todos,todos,todos,ø,#not_apparat,7,glose,Non, Non
12616,trabaios,trabajos,trabajos,trabajos,travajos,trabajos,trabajos,ø,#graphique,7,glose,Non, Non
12617,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12618,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12619,biciosos,viçiosos,viçiosos,viciosos,viçiosos,viçiosos,viciosos,ø,#filtre,7,glose,Non, Non
12620,nin,nin,nin,nin,nin,nin,ni,ø,#graphique,7,glose,Non, Non
12621,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12622,delicados,delicados,delicados,delicados,delicados,delicados,delicados,ø,#not_apparat,7,glose,Non, Non
12623,E,Et,et,E,e,Et,E,ø,#filtre,7,glose,Non, Non
12624,antiguamente,antiguamente,antiguamente,antiguamente,antiguamente,antiguamente,antiguamente,ø,#not_apparat,7,glose,Non, Non
12625,a,a,a,a,a,a,a,ø,#not_apparat,7,glose,Non, Non
12626,estos,éstos,éstos,estos,éstos,éstos,estos,ø,#normalisation,7,glose,Non, Non
12627,tomauan,tomavan,tomavan,tomavan,ø,tomavan,tomauan,ø,#graphique,7,glose,Non, Non
12628,para,por,para,para,ø,para,para,ø,#lexicale,7,glose,Non, Non
12629,caualleros,cavalleros,cavalleros,cavalleros,ø,cavalleros,caualleros,ø,#graphique,7,glose,Non, Non
12630,ca,ca,Ca,e,ø,ca,Ca,ø,#lexicale,7,glose,Non, Non
12631,aun,aun,aun,aún,ø,aun,avn,ø,#lexicale,7,glose,Non, Non
12632,de,de,de,de,ø,de,de,ø,#not_apparat,7,glose,Non, Non
12633,los,los,los,los,ø,los,los,ø,#not_apparat,7,glose,Non, Non
12634,arados,arados,arados,arados,ø,que,arados,ø,#lexicale,7,glose,Non, Non
12635,los,los,los,los,ø,aravan,los,ø,#lexicale,7,glose,Non, Non
12636,tomauan,tomavan,tomavan,tomavan,tomavan,tomavan,tomauan,ø,#graphique,7,glose,Non, Non
12637,para,para,para,para,por,para,para,ø,#lexicale,7,glose,Non, Non
12638,los,ø,los,los,ø,ø,los,ø,#omission,7,glose,Non, Non
12639,fazer,fazer,fazer,fazer,fazer,fazer,fazer,ø,#not_apparat,7,glose,Non, Non
12640,prinçipes,prínçipes,prínçipes,prínçipes,prínçipes,prínçipes,principes,ø,#graphique,7,glose,Non, Non
12641,ø,déllos,ø,ø,dellos,ø,ø,ø,#omission #normalisation,7,glose,Non, Non
12642,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12643,cabdillos,cabdiellos,cabdillos,caudillos,cadillos,cabdillos,cabdillos,ø,#lexicale,7,glose,Non, Non
12644,segunt,según,segund,segunt,segunt,segund,segund,ø,#graphique,7,glose,Non, Non
12645,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12646,posimos,pusiésemos,posimos,posimos,pusiemos,posimos,posimos,ø,#morphosyntactique,7,glose,Non, Non
12647,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12648,suso,suso,suso,suso,suso,suso,suso,ø,#not_apparat,7,glose,Non, Non
12649,enxenplos,exenplos,enxenplos,enxenplos,ø,enxenplos,enxenplos,ø,#graphique,7,glose,Non, Non
12650,de,de,de,de,ø,de,de,ø,#not_apparat,7,glose,Non, Non
12651,muchos,muchos,muchos,muchos,muchos,muchos,muchos,ø,#not_apparat,7,glose,Non, Non
12652,ø,ø,ø,ø,enxenplos,ø,ø,ø,#omission,7,glose,Non, Non
12653,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12654,cuenta,cuenta,cuenta,cuenta,cuenta,cuenta,cuenta,ø,#not_apparat,7,glose,Non, Non
12655,valerio,Valerio,Valerio,Valerio,Valerio,Valerio,valerio,ø,#graphique,7,glose,Non, Non
12656,en,en,en,en,en,en,en,ø,#not_apparat,7,glose,Non, Non
12657,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12658,quarto,iiii°,iiii°,iiii°,iiii°,quarto,quarto,ø,#graphique,7,glose,Non, Non
12659,libro,libro,ø,libro,libro,libro,libro,ø,#not_apparat,7,glose,Non, Non
12660,al,capítulo,ø,ø,capítulo,capítulo,al,ø,#omission #lexicale,7,glose,Non, Non
12661,terçero,iii°,ø,iii°,iii°,terçero,tercero,ø,#graphique,7,glose,Non, Non
12662,capitulo,ø,capítulo,capítulo,ø,ø,capitulo,ø,#omission #normalisation,7,glose,Non, Non
12663,Mas,Mas,Mas,Mas,Mas,Mas,Mas,ø,#not_apparat,7,glose,Non, Non
12664,aqui,aquí,aquí,aquí,aquí,aquí,aqui,ø,#normalisation,7,glose,Non, Non
12665,coniuene,conviene,conviene,conviene,conviene,conviene,conuiene,ø,#graphique,7,glose,Non, Non
12666,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12667,notar,notar,notar,notar,notar,notar,notar,ø,#not_apparat,7,glose,Non, Non
12668,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12669,muchos,muchos,muchos,muchos,muchos,muchos,muchos,ø,#not_apparat,7,glose,Non, Non
12670,caualleros,cavalleros,cavalleros,cavalleros,cavalleros,cavalleros,caualleros,ø,#graphique,7,glose,Non, Non
12671,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12672,dia,día,día,día,día,día,dia,ø,#normalisation,7,glose,Non, Non
12673,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12674,oy,oy,oy,oy,oy,oy,oy,ø,#not_apparat,7,glose,Non, Non
12675,se,se,se,se,se,se,se,ø,#not_apparat,7,glose,Non, Non
12676,dan,dan,dan,dan,dan,dan,dan,ø,#not_apparat,7,glose,Non, Non
12677,mas,más,más,más,más,más,mas,ø,#normalisation,7,glose,Non, Non
12678,a,a,a,a,a,a,a,ø,#not_apparat,7,glose,Non, Non
12679,vicios,viçios,viçios,viçios,viçios,viçios,vicios,ø,#graphique,7,glose,Non, Non
12680,e,e,e,e,e,et,e,ø,#filtre,7,glose,Non, Non
12681,a,a,a,ø,a,a,a,ø,#omission,7,glose,Non, Non
12682,locanjas,loçanías,loçanías,loçanías,loçanías,loçanías,loçanias,ø,#graphique,7,glose,Non, Non
12683,e,e,et,e,e,et,e,ø,#filtre,7,glose,Non, Non
12684,a,a,a,a,a,a,a,ø,#not_apparat,7,glose,Non, Non
12685,iuegos,juego,juegos,juegos,juegos,juegos,juegos,ø,#personne,7,glose,Non, Non
12686,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12687,dados,dados,dados,dados,dados,dados,dados,ø,#not_apparat,7,glose,Non, Non
12688,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12689,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12690,tablas,tablas,tablas,tablas,tablas,tablas,tablas,ø,#not_apparat,7,glose,Non, Non
12691,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12692,a,de,a,a,de,a,a,ø,#lexicale,7,glose,Non, Non
12693,caças,caças,caças,caças,caças,caças,caças,ø,#not_apparat,7,glose,Non, Non
12694,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12695,ø,ø,ø,a,ø,ø,ø,ø,#omission,7,glose,Non, Non
12696,andar,andar,andar,andar,andan,andar,andar,ø,#morphosyntactique,7,glose,Non, Non
12697,baldios,baldíos,baldíos,baldíos,baldíos,baldíos,baldios,ø,#normalisation,7,glose,Non, Non
12698,e,e,e,e,e,e,e,ø,#not_apparat,7,glose,Non, Non
12699,ociosos,oçiosos,obçiosos,oçiosos,oçiosos,viçioso,ociosos,ø,#lexicale,7,glose,Non, Non
12700,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12701,a,a,a,a,a,a,a,ø,#not_apparat,7,glose,Non, Non
12702,vso,uso,uso,uso,uso,uso,vso,ø,#graphique,7,glose,Non, Non
12703,de,de,de,de,de,de,de,ø,#not_apparat,7,glose,Non, Non
12704,las,las,las,las,las,las,las,ø,#not_apparat,7,glose,Non, Non
12705,armas,armas,armas,armas,armas,armas,armas,ø,#not_apparat,7,glose,Non, Non
12706,E,Et,Et,E,Et,ø,E,ø,#omission #filtre,7,glose,Non, Non
12707,por,por,por,por,por,por,por,ø,#not_apparat,7,glose,Non, Non
12708,ende,ende,ende,ende,ende,ende,ende,ø,#not_apparat,7,glose,Non, Non
12709,non,non,non,non,non,non,non,ø,#not_apparat,7,glose,Non, Non
12710,son,son,son,son,son,son,son,ø,#not_apparat,7,glose,Non, Non
12711,buenos,buenos,buenos,buenos,buenos,buenos,buenos,ø,#not_apparat,7,glose,Non, Non
12712,ø,ø,ø,ø,ø,para,ø,ø,#not_apparat,7,glose,Non, Non
12713,ø,ø,ø,ø,ø,uso,ø,ø,#not_apparat,7,glose,Non, Non
12714,ø,ø,ø,ø,ø,de,ø,ø,#not_apparat,7,glose,Non, Non
12715,ø,ø,ø,ø,ø,las,ø,ø,#not_apparat,7,glose,Non, Non
12716,ø,ø,ø,ø,ø,armas,ø,ø,#not_apparat,7,glose,Non, Non
12717,ø,ø,ø,ø,ø,nin,ø,ø,#not_apparat,7,glose,Non, Non
12718,para,para,para,para,para,para,para,ø,#not_apparat,7,glose,Non, Non
12719,las,las,las,las,las,las,las,ø,#not_apparat,7,glose,Non, Non
12720,batallas,batallas,batallas,batallas,batallas,batallas,batallas,ø,#not_apparat,7,glose,Non, Non
12721,E,E,et,e,e,E,E,ø,#filtre,7,glose,Non, Non
12722,todo,todo,todo,todo,todo,todo,todo,ø,#not_apparat,7,glose,Non, Non
12723,el,el,el,el,el,el,el,ø,#not_apparat,7,glose,Non, Non
12724,contrario,contrario,contrario,contrario,contrario,contrario,contrario,ø,#not_apparat,7,glose,Non, Non
12725,fazian,fazen,fazían,fazían,fazían,fazían,fazian,ø,#morphosyntactique,7,glose,Non, Non
12726,los,los,los,los,los,los,los,ø,#not_apparat,7,glose,Non, Non
12727,caualleros,cavalleros,cavalleros,cavalleros,cavalleros,cavalleros,caualleros,ø,#graphique,7,glose,Non, Non
12728,antiguos,antiguos,antiguos,antigos,antigos,antiguos,antiguos,ø,#graphique,7,glose,Non, Non
12729,segunt,según,segund,segunt,segunt,segund,segund,ø,#graphique,7,glose,Non, Non
12730,que,que,que,que,que,que,que,ø,#not_apparat,7,glose,Non, Non
12731,dize,dize,dize,dize,dize,dize,dize,ø,#not_apparat,7,glose,Non, Non
