Index,A,B,G,J,Q,R,Z,U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U
638,a,ø,a,ø,ø,ø,a,ø,6,traduction,Non, Non,638,2,0,2,0,0,0,2,0
639,ø,a,a,a,a,a,ø,ø,6,traduction,Non, Non,639,0,1,1,1,1,1,0,0
640,ø,a,ø,a,a,a,ø,ø,6,traduction,Non, Non,640,0,1,0,1,1,1,0,0
641,que,que,que,que,ø,que,que,ø,6,traduction,Non, Non,641,2,2,2,2,0,2,2,0
642,cosa,cosa,cosa,cosa,ø,cosa,cosa,ø,6,traduction,Non, Non,642,2,2,2,2,0,2,2,0
643,ø,ø,ø,ø,ø,mejor,ø,ø,6,traduction,Non, Non,643,0,0,0,0,0,2,0,0
644,el,ø,ø,ø,ø,ø,el,ø,6,traduction,Non, Non,644,2,0,0,0,0,0,2,0
645,e,e,e,e,e,ø,e,ø,6,traduction,Non, Non,645,1,1,1,1,1,0,1,0
646,esto,ø,esto,esto,esto,esto,esto,ø,6,traduction,Non, Non,646,1,0,1,1,1,1,1,0
647,que,que,que,que,ø,que,que,ø,6,traduction,Non, Non,647,2,2,2,2,0,2,2,0
648,algunos,algunos,ø,algunos,algunos,algunos,algunos,ø,6,traduction,Non, Non,648,1,1,0,1,1,1,1,0
649,o,o,o,o,o,ø,o,ø,6,traduction,Non, Non,649,1,1,1,1,1,0,1,0
650,muy,muy,ø,muy,muy,muy,muy,ø,6,traduction,Non, Non,650,1,1,0,1,1,1,1,0
651,bien,ø,en,ø,ø,ø,bien,ø,6,traduction,Non, Non,651,1,0,3,0,0,0,1,0
652,de,de,de,de,de,ø,de,ø,6,traduction,Non, Non,652,1,1,1,1,1,0,1,0
653,ø,ø,ø,ø,ø,asý,ø,ø,6,traduction,Non, Non,653,0,0,0,0,0,2,0,0
654,andar,andar,ø,andar,andar,andar,andar,ø,6,traduction,Non, Non,654,1,1,0,1,1,1,1,0
655,ø,los,ø,ø,los,a,ø,ø,6,traduction,Non, Non,655,0,3,0,0,3,1,0,0
656,ø,dellos,ø,ø,dellos,dellos,Lo,ø,6,traduction,Non, Non,656,0,3,0,0,3,3,1,0
657,ø,en,ø,ø,ø,ø,ø,ø,6,traduction,Non, Non,657,0,2,0,0,0,0,0,0
658,dar,dar,ø,dar,dar,dar,dar,ø,6,traduction,Non, Non,658,1,1,0,1,1,1,1,0
659,todas,ø,todas,todas,todas,todas,todas,ø,6,traduction,Non, Non,659,1,0,1,1,1,1,1,0
660,ø,Ca,Et,E,ca,ca,E,ø,6,traduction,Non, Non,660,0,4,3,1,4,4,1,0
661,Eel,el,ø,el,el,el,el,ø,6,traduction,Non, Non,661,1,3,0,3,3,3,3,0
662,ø,el,ø,ø,el,ø,ø,ø,6,traduction,Non, Non,662,0,1,0,0,1,0,0,0
663,ø,el,el,el,el,el,el,ø,6,traduction,Non, Non,663,0,1,1,1,1,1,1,0
664,ø,es,ø,ø,es,ø,ø,ø,6,traduction,Non, Non,664,0,1,0,0,1,0,0,0
665,bien,bien,bien,bien,ø,bien,bien,ø,6,traduction,Non, Non,665,2,2,2,2,0,2,2,0
666,a,ø,a,a,ø,ø,a,ø,6,traduction,Non, Non,666,2,0,2,2,0,0,2,0
667,ø,aquí,aquí,ø,aquí,aquí,ø,ø,6,glose,Non, Non,667,0,1,1,0,1,1,0,0
668,a,por,ø,a,para,e,a,ø,6,glose,Non, Non,668,2,3,0,2,5,4,2,0
669,ø,ø,ø,ø,ø,que,ø,ø,6,glose,Non, Non,669,0,0,0,0,0,2,0,0
670,es,es,e,ø,es,es,es,ø,6,glose,Non, Non,670,2,2,1,0,2,2,2,0
671,ø,ø,ø,ø,dize,ø,ø,ø,6,glose,Non, Non,671,0,0,0,0,1,0,0,0
672,el,el,el,el,ø,el,el,ø,6,glose,Non, Non,672,2,2,2,2,0,2,2,0
673,non,ø,ø,ø,ø,ø,ø,ø,6,glose,Non, Non,673,2,0,0,0,0,0,0,0
674,ø,ellas,ø,ø,ellas,ø,ø,ø,6,glose,Non, Non,674,0,1,0,0,1,0,0,0
675,de,ø,de,de,de,de,de,ø,6,glose,Non, Non,675,1,0,1,1,1,1,1,0
676,ø,ø,ø,ø,ø,a,ø,ø,6,glose,Non, Non,676,0,0,0,0,0,2,0,0
677,ø,ø,ø,ø,la,ø,ø,ø,6,glose,Non, Non,677,0,0,0,0,1,0,0,0
678,ø,el,el,el,el,el,el,ø,6,glose,Non, Non,678,0,1,1,1,1,1,1,0
679,ø,ø,ø,iii°,ø,libro,ø,ø,6,glose,Non, Non,679,0,0,0,3,0,1,0,0
680,bien,bien,ø,bien,bien,bien,bien,ø,6,glose,Oui, Non,680,1,1,0,1,1,1,1,0
681,e,e,ø,e,e,e,e,ø,6,glose,Oui, Non,681,1,1,0,1,1,1,1,0
682,por,por,por,por,ø,por,porque,ø,6,glose,Non, Non,682,2,2,2,2,0,2,3,0
683,que,que,que,que,que,que,ø,ø,6,glose,Non, Non,683,1,1,1,1,1,1,0,0
684,ø,la,ø,la,la,la,ø,ø,6,glose,Non, Non,684,0,1,0,1,1,1,0,0
685,nuestro,ø,nuestro,nuestro,ø,ø,nuestro,ø,6,glose,Oui, Non,685,2,0,2,2,0,0,2,0
686,de,ø,de,ø,de,ø,de,ø,6,glose,Non, Non,686,1,0,1,0,1,0,1,0
687,al,ø,al,ø,ø,ø,al,ø,6,glose,Non, Non,687,2,0,2,0,0,0,2,0
688,por,ø,por,por,por,por,por,ø,6,glose,Non, Non,688,1,0,1,1,1,1,1,0
689,ø,podemos,podemos,podemos,podemos,podemos,ø,ø,6,glose,Non, Non,689,0,1,1,1,1,1,0,0
690,ø,ø,ø,ø,ø,sienpre,ø,ø,6,glose,Non, Non,690,0,0,0,0,0,2,0,0
691,ø,ø,ø,ø,ø,a,ø,ø,6,glose,Non, Non,691,0,0,0,0,0,2,0,0
692,ø,ø,de,ø,ø,ø,ø,ø,6,glose,Non, Non,692,0,0,2,0,0,0,0,0
693,ø,escogidos,ø,ø,escogidos,ø,ø,ø,6,glose,Oui, Non,693,0,1,0,0,1,0,0,0
694,escogidos,ø,escogidos,escogidos,ø,escogidos,escogidos,ø,6,glose,Oui, Non,694,2,0,2,2,0,2,2,0
695,los,los,los,los,ø,los,los,ø,6,glose,Non, Non,695,2,2,2,2,0,2,2,0
696,que,que,que,que,ø,que,que,ø,6,glose,Non, Non,696,2,2,2,2,0,2,2,0
697,ø,ø,ø,ø,e,ø,ø,ø,6,glose,Non, Non,697,0,0,0,0,1,0,0,0
698,al,capítulo,al,ø,capítulo,capítulo,al,ø,6,glose,Non, Non,698,3,1,3,0,1,1,3,0
699,ø,ø,ø,ø,esto,ø,ø,ø,6,glose,Non, Non,699,0,0,0,0,1,0,0,0
700,todos,ø,todos,todos,todos,todos,todos,ø,6,glose,Non, Non,700,1,0,1,1,1,1,1,0
701,ø,otros,ø,ø,ø,ø,ø,ø,6,glose,Non, Non,701,0,2,0,0,0,0,0,0
702,ø,que,que,ø,que,que,que,ø,6,glose,Non, Non,702,0,1,1,0,1,1,1,0
703,se,se,se,se,se,ø,se,ø,6,glose,Non, Non,703,1,1,1,1,1,0,1,0
704,ø,ø,ø,ø,ø,omes,ø,ø,6,glose,Non, Non,704,0,0,0,0,0,2,0,0
705,ø,es,ø,ø,es,ø,ø,ø,6,glose,Non, Non,705,0,1,0,0,1,0,0,0
706,ser,ø,ser,ser,ø,ø,ser,ø,6,glose,Non, Non,706,2,0,2,2,0,0,2,0
707,ø,ø,ø,ø,ø,toda,ø,ø,6,glose,Non, Non,707,0,0,0,0,0,2,0,0
708,toda,ø,toda,toda,ø,ø,toda,ø,6,glose,Non, Non,708,2,0,2,2,0,0,2,0
709,la,ø,la,la,la,la,la,ø,6,glose,Non, Non,709,1,0,1,1,1,1,1,0
710,ø,ø,todos,ø,ø,ø,ø,ø,6,glose,Non, Non,710,0,0,2,0,0,0,0,0
711,la,la,la,la,la,ø,la,ø,6,glose,Non, Non,711,1,1,1,1,1,0,1,0
712,su,ø,su,su,ø,su,su,ø,6,glose,Non, Non,712,2,0,2,2,0,2,2,0
713,ø,ø,ø,ø,ø,non,ø,ø,6,glose,Non, Non,713,0,0,0,0,0,2,0,0
714,le,le,le,le,ø,le,le,ø,6,glose,Non, Non,714,2,2,2,2,0,2,2,0
715,ø,ø,ø,ø,ø,e,ø,ø,6,glose,Non, Non,715,0,0,0,0,0,2,0,0
716,ø,ø,ø,ø,las,las,ø,ø,6,glose,Non, Non,716,0,0,0,0,1,1,0,0
717,ø,ø,ø,ø,la,ø,ø,ø,6,glose,Non, Non,717,0,0,0,0,1,0,0,0
718,ø,la,ø,ø,la,la,ø,ø,6,glose,Non, Non,718,0,1,0,0,1,1,0,0
719,le,le,le,le,le,ø,le,ø,6,glose,Non, Non,719,1,1,1,1,1,0,1,0
720,e,e,e,e,ø,e,e,ø,6,glose,Non, Non,720,2,2,2,2,0,2,2,0
721,ø,ø,ø,ø,ø,asý,ø,ø,6,glose,Non, Non,721,0,0,0,0,0,2,0,0
722,ø,ø,ø,ø,ø,que,ø,ø,6,glose,Non, Non,722,0,0,0,0,0,2,0,0
723,para,ø,para,para,ø,para,para,ø,6,glose,Non, Non,723,2,0,2,2,0,2,2,0
724,su,ø,su,su,ø,ø,su,ø,6,glose,Non, Non,724,2,0,2,2,0,0,2,0
725,ø,ø,ø,ø,ø,la,ø,ø,6,glose,Non, Non,725,0,0,0,0,0,2,0,0
726,ø,ø,ø,ø,que,ø,ø,ø,6,glose,Non, Non,726,0,0,0,0,1,0,0,0
727,ø,ø,ø,ø,son,ø,ø,ø,6,glose,Non, Non,727,0,0,0,0,1,0,0,0
728,ø,ø,ø,ø,más,ø,ø,ø,6,glose,Non, Non,728,0,0,0,0,1,0,0,0
729,ø,el,el,el,el,el,el,ø,6,glose,Non, Non,729,0,1,1,1,1,1,1,0
730,ø,el,el,el,el,el,el,ø,6,glose,Non, Non,730,0,1,1,1,1,1,1,0
731,ø,ø,ø,ø,forma,forma,ø,ø,6,glose,Non, Non,731,0,0,0,0,1,1,0,0
732,iḣu,Ihesú,ø,Jesú,Jhesú,Ihesú,Jesu,ø,6,glose,Non, Non,732,1,2,0,2,2,2,2,0
733,ø,ø,ø,ø,ø,de,ø,ø,6,glose,Non, Non,733,0,0,0,0,0,2,0,0
734,ø,ø,ø,ø,juran,ø,ø,ø,6,glose,Non, Non,734,0,0,0,0,1,0,0,0
735,libro,libro,libro,libro,libro,ø,ø,ø,6,glose,Non, Non,735,1,1,1,1,1,0,0,0
736,al,ø,al,ø,ø,ø,al,ø,6,glose,Non, Non,736,2,0,2,0,0,0,2,0
737,ø,xi,ø,ø,xi,xi,ø,ø,6,glose,Non, Non,737,0,1,0,0,1,1,0,0
738,ø,él,él,él,qual,él,ø,ø,6,glose,Non, Non,738,0,3,3,3,1,3,0,0
739,el,ø,ø,el,el,ø,el,ø,6,glose,Non, Non,739,1,0,0,1,1,0,1,0
740,que,ø,que,que,que,que,que,ø,6,glose,Non, Non,740,1,0,1,1,1,1,1,0
741,otros,otros,otros,otros,otros,otros,ø,ø,6,glose,Non, Non,741,1,1,1,1,1,1,0,0
742,que,ø,que,que,que,que,que,ø,6,glose,Non, Non,742,1,0,1,1,1,1,1,0
743,que,ø,que,que,que,que,que,ø,6,glose,Non, Non,743,1,0,1,1,1,1,1,0
744,ø,ø,ø,ø,su,ø,ø,ø,6,glose,Non, Non,744,0,0,0,0,1,0,0,0
745,le,ø,le,le,ø,le,le,ø,6,glose,Non, Non,745,2,0,2,2,0,2,2,0
746,de,ø,de,de,ø,de,de,ø,6,glose,Non, Non,746,2,0,2,2,0,2,2,0
747,lo,lo,lo,lo,ø,lo,lo,ø,6,glose,Non, Non,747,2,2,2,2,0,2,2,0
748,toda,ø,toda,toda,ø,toda,toda,ø,6,glose,Non, Non,748,2,0,2,2,0,2,2,0
749,ø,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ordenadamente,ø,7,,Non, Non,749,0,1,1,1,1,1,1,0
750,ø,la,ø,ø,la,la,ø,ø,7,,Non, Non,750,0,1,0,0,1,1,0,0
751,muchas,ø,muchas,muchas,ø,ø,muchas,ø,7,,Non, Non,751,2,0,2,2,0,0,2,0
752,ø,ø,ø,ø,ø,ocho,ø,ø,7,traduction,Non, Non,752,0,0,0,0,0,2,0,0
753,muchas,ø,muchas,muchas,ø,ø,muchas,ø,7,traduction,Non, Non,753,2,0,2,2,0,0,2,0
754,ø,ø,en,en,en,ø,en,ø,7,traduction,Non, Non,754,0,0,1,1,1,0,1,0
755,ø,otras,otras,ø,otras,ø,ø,ø,7,traduction,Non, Non,755,0,1,1,0,1,0,0,0
756,de,de,de,de,ø,de,de,ø,7,traduction,Non, Non,756,2,2,2,2,0,2,2,0
757,que,que,que,que,ø,que,que,ø,7,traduction,Non, Non,757,2,2,2,2,0,2,2,0
758,ø,el,onse,ø,del,ø,ø,ø,7,traduction,Non, Non,758,0,4,1,0,2,0,0,0
759,le,ø,le,le,ø,le,le,ø,7,traduction,Non, Non,759,2,0,2,2,0,2,2,0
760,ø,la,ø,ø,la,ø,ø,ø,7,traduction,Non, Non,760,0,1,0,0,1,0,0,0
761,ø,se,se,ø,se,se,ø,ø,7,traduction,Non, Non,761,0,1,1,0,1,1,0,0
762,peso,peso,peso,peso,peso,ø,peso,ø,7,traduction,Non, Non,762,1,1,1,1,1,0,1,0
763,ø,ø,ø,ø,es,ø,ø,ø,7,traduction,Non, Non,763,0,0,0,0,1,0,0,0
764,ø,a,ø,a,ø,ø,a,ø,7,traduction,Non, Non,764,0,2,0,2,0,0,2,0
765,e,e,e,e,e,ø,e,ø,7,traduction,Non, Non,765,1,1,1,1,1,0,1,0
766,a,a,ø,a,a,por,a,ø,7,traduction,Non, Non,766,1,1,0,1,1,3,1,0
767,ø,ø,e,ø,ø,ø,ø,ø,7,traduction,Non, Non,767,0,0,2,0,0,0,0,0
768,ø,ø,arma,ø,ø,ø,ø,ø,7,traduction,Non, Non,768,0,0,2,0,0,0,0,0
769,ø,ø,ø,ø,ø,muy,ø,ø,7,traduction,Non, Non,769,0,0,0,0,0,2,0,0
770,ø,buenos,ø,ø,buenos,ø,ø,ø,7,traduction,Non, Non,770,0,1,0,0,1,0,0,0
771,a,a,a,a,ø,a,a,ø,7,traduction,Non, Non,771,2,2,2,2,0,2,2,0
772,las,ø,las,las,ø,ø,las,ø,7,traduction,Non, Non,772,2,0,2,2,0,0,2,0
773,ø,ø,los,los,ø,ø,ø,ø,7,traduction,Non, Non,773,0,0,2,2,0,0,0,0
774,a,ø,a,ø,ø,a,a,ø,7,traduction,Non, Non,774,2,0,2,0,0,2,2,0
775,las,ø,las,las,las,las,las,ø,7,traduction,Non, Non,775,1,0,1,1,1,1,1,0
776,avn,ø,ø,aún,ø,ø,avn,ø,7,traduction,Non, Non,776,3,0,0,1,0,0,3,0
777,las,las,las,las,las,ø,las,ø,7,traduction,Non, Non,777,1,1,1,1,1,0,1,0
778,ø,ø,ø,ø,ø,quando,ø,ø,7,traduction,Non, Non,778,0,0,0,0,0,2,0,0
779,la,ø,la,la,la,la,la,ø,7,traduction,Non, Non,779,1,0,1,1,1,1,1,0
780,non,ø,non,non,ø,non,ø,ø,7,traduction,Non, Non,780,2,0,2,2,0,2,0,0
781,a,ø,ø,ø,ø,ø,a,ø,7,traduction,Non, Non,781,2,0,0,0,0,0,2,0
782,a,a,a,ø,ø,a,a,ø,7,traduction,Non, Non,782,2,2,2,0,0,2,2,0
783,ø,fustes,ø,ø,fustes,ø,ø,ø,7,traduction,Non, Non,783,0,1,0,0,1,0,0,0
784,muy,muy,muy,muy,muy,ø,muy,ø,7,traduction,Non, Non,784,1,1,1,1,1,0,1,0
785,ø,ø,ø,ø,ø,mucho,ø,ø,7,traduction,Non, Non,785,0,0,0,0,0,2,0,0
786,de,de,ø,de,de,de,de,ø,7,traduction,Non, Non,786,1,1,0,1,1,1,1,0
787,ø,ø,ø,ø,ø,son,ø,ø,7,traduction,Non, Non,787,0,0,0,0,0,2,0,0
788,ø,mejor,ø,ø,ø,mejor,ø,ø,7,traduction,Non, Non,788,0,2,0,0,0,2,0,0
789,o,ø,ø,o,ø,o,o,ø,7,traduction,Non, Non,789,2,0,0,2,0,2,2,0
790,ø,armados,ø,ø,armados,puedan,ø,ø,7,traduction,Non, Non,790,0,1,0,0,1,3,0,0
791,el,el,el,el,el,ø,el,ø,7,traduction,Non, Non,791,1,1,1,1,1,0,1,0
792,ø,el,el,el,el,el,el,ø,7,traduction,Non, Non,792,0,1,1,1,1,1,1,0
793,ø,en,en,en,en,en,en,ø,7,traduction,Non, Non,793,0,1,1,1,1,1,1,0
794,ø,las,ø,ø,ø,las,ø,ø,7,traduction,Non, Non,794,0,2,0,0,0,2,0,0
795,ø,ø,el,el,ø,ø,el,ø,7,traduction,Non, Non,795,0,0,2,2,0,0,2,0
796,muy,ø,muy,muy,muy,muy,muy,ø,7,traduction,Non, Non,796,1,0,1,1,1,1,1,0
797,ø,ø,se,ø,ø,ø,ø,ø,7,traduction,Non, Non,797,0,0,2,0,0,0,0,0
798,ø,el,a,ø,el,el,ø,ø,7,traduction,Non, Non,798,0,3,1,0,3,3,0,0
799,ø,ø,ø,ø,ø,ø,bien,ø,7,traduction,Non, Non,799,0,0,0,0,0,0,2,0
800,e,ø,ø,ø,ø,ø,ø,ø,7,traduction,Non, Non,800,2,0,0,0,0,0,0,0
801,las,las,las,ø,las,las,las,ø,7,traduction,Non, Non,801,1,1,1,0,1,1,1,0
802,cosas,cosas,cosas,cosas,cosas,cosas,ø,ø,7,glose,Non, Non,802,1,1,1,1,1,1,0,0
803,al,ø,al,al,a,ø,al,ø,7,glose,Non, Non,803,3,0,3,3,1,0,3,0
804,e,ø,e,e,e,e,e,ø,7,glose,Non, Non,804,1,0,1,1,1,1,1,0
805,ø,que,ø,ø,que,que,ø,ø,7,glose,Non, Non,805,0,1,0,0,1,1,0,0
806,se,ø,se,se,él,ø,ø,ø,7,glose,Non, Non,806,3,0,3,3,2,0,0,0
807,ø,se,ø,ø,se,ø,se,ø,7,glose,Non, Non,807,0,1,0,0,1,0,1,0
808,se,ø,se,se,ø,ø,se,ø,7,glose,Non, Non,808,2,0,2,2,0,0,2,0
809,ø,se,ø,ø,se,se,ø,ø,7,glose,Non, Non,809,0,1,0,0,1,1,0,0
810,a,a,ø,a,a,a,a,ø,7,glose,Non, Non,810,1,1,0,1,1,1,1,0
811,ø,Et,ø,ø,ø,ø,ø,ø,7,glose,Non, Non,811,0,2,0,0,0,0,0,0
812,ø,et,ø,ø,ø,ø,ø,ø,7,glose,Non, Non,812,0,2,0,0,0,0,0,0
813,a,a,ø,a,a,a,a,ø,7,glose,Non, Non,813,1,1,0,1,1,1,1,0
814,ø,et,ø,ø,ø,ø,ø,ø,7,glose,Non, Non,814,0,2,0,0,0,0,0,0
815,muy,muy,muy,muy,ø,muy,muy,ø,7,glose,Non, Non,815,2,2,2,2,0,2,2,0
816,en,en,en,en,en,en,ø,ø,7,glose,Non, Non,816,1,1,1,1,1,1,0,0
817,ø,ø,ø,ø,ø,espone,pone,ø,7,glose,Non, Non,817,0,0,0,0,0,2,3,0
818,pone,pone,pone,pone,pone,ø,ø,ø,7,glose,Non, Non,818,1,1,1,1,1,0,0,0
819,ø,ø,ø,ø,muy,muy,ø,ø,7,glose,Non, Non,819,0,0,0,0,1,1,0,0
820,ø,e,e,e,e,e,e,ø,7,glose,Non, Non,820,0,1,1,1,1,1,1,0
821,ø,muy,ø,ø,muy,ø,ø,ø,7,glose,Non, Non,821,0,1,0,0,1,0,0,0
822,que,que,que,que,ø,que,que,ø,7,glose,Non, Non,822,2,2,2,2,0,2,2,0
823,es,es,es,es,es,ø,es,ø,7,glose,Non, Non,823,1,1,1,1,1,0,1,0
824,es,es,es,es,es,ø,es,ø,7,glose,Non, Non,824,1,1,1,1,1,0,1,0
825,o,o,o,o,ø,e,o,ø,7,glose,Non, Non,825,3,3,3,3,0,1,3,0
826,ø,Et,Et,ø,ø,ø,ø,ø,7,glose,Non, Non,826,0,2,2,0,0,0,0,0
827,ø,en,ø,ø,en,ø,ø,ø,7,glose,Non, Non,827,0,1,0,0,1,0,0,0
828,ø,Et,Et,ø,ø,ø,ø,ø,7,glose,Non, Non,828,0,2,2,0,0,0,0,0
829,ø,muy,ø,ø,muy,muy,ø,ø,7,glose,Non, Non,829,0,1,0,0,1,1,0,0
830,ø,e,ø,ø,ø,ø,ø,ø,7,glose,Non, Non,830,0,2,0,0,0,0,0,0
831,que,que,que,que,ø,que,que,ø,7,glose,Non, Non,831,2,2,2,2,0,2,2,0
832,ø,ø,ø,ø,que,ø,ø,ø,7,glose,Non, Non,832,0,0,0,0,1,0,0,0
833,buen,buen,buen,buen,ø,buen,buen,ø,7,glose,Non, Non,833,2,2,2,2,0,2,2,0
834,ø,el,el,el,el,el,el,ø,7,glose,Non, Non,834,0,1,1,1,1,1,1,0
835,quinto,v°,quinto,quinto,ø,quinto,quinto,ø,7,glose,Non, Non,835,2,2,2,2,0,2,2,0
836,ø,son,son,son,son,son,son,ø,7,glose,Non, Non,836,0,1,1,1,1,1,1,0
837,ø,ø,ø,ø,ø,la,ø,ø,7,glose,Non, Non,837,0,0,0,0,0,2,0,0
838,ø,ø,ø,ø,ø,muy,ø,ø,7,glose,Non, Non,838,0,0,0,0,0,2,0,0
839,ø,ø,e,e,e,e,e,ø,7,glose,Non, Non,839,0,0,1,1,1,1,1,0
840,los,ø,los,los,ø,ø,los,ø,7,glose,Non, Non,840,2,0,2,2,0,0,2,0
841,ø,ø,ø,ø,enxenplos,ø,ø,ø,7,glose,Non, Non,841,0,0,0,0,1,0,0,0
842,al,capítulo,ø,ø,capítulo,capítulo,al,ø,7,glose,Non, Non,842,3,1,0,0,1,1,3,0
843,a,a,a,ø,a,a,a,ø,7,glose,Non, Non,843,1,1,1,0,1,1,1,0
844,ø,ø,ø,a,ø,ø,ø,ø,7,glose,Non, Non,844,0,0,0,2,0,0,0,0
845,ø,ø,ø,ø,ø,e,ø,ø,7,glose,Non, Non,845,0,0,0,0,0,2,0,0
846,bien,bien,ø,bien,bien,bien,bien,ø,7,glose,Non, Non,846,1,1,0,1,1,1,1,0
847,que,que,que,que,que,ø,que,ø,8,,Non, Non,847,1,1,1,1,1,0,1,0
848,ø,ø,ø,ø,ø,de,ø,ø,8,,Non, Non,848,0,0,0,0,0,2,0,0
849,ø,fazer,ø,ø,fazer,ø,ø,ø,8,,Non, Non,849,0,1,0,0,1,0,0,0
850,es,es,es,es,ø,es,es,ø,8,traduction,Non, Non,850,2,2,2,2,0,2,2,0
851,la,ø,la,la,ø,ø,la,ø,8,traduction,Non, Non,851,2,0,2,2,0,0,2,0
852,ø,en,en,en,en,en,en,ø,8,traduction,Non, Non,852,0,1,1,1,1,1,1,0
853,o,o,o,o,o,ø,o,ø,8,traduction,Non, Non,853,1,1,1,1,1,0,1,0
854,ø,que,ø,ø,que,ø,ø,ø,8,traduction,Non, Non,854,0,1,0,0,1,0,0,0
855,que,ø,que,que,ø,que,que,ø,8,traduction,Non, Non,855,2,0,2,2,0,2,2,0
856,ø,ø,ø,ø,ø,de,ø,ø,8,traduction,Non, Non,856,0,0,0,0,0,2,0,0
857,consigo,consigo,consigo,consigo,consigo,ø,consigo,ø,8,traduction,Oui, Non,857,1,1,1,1,1,0,1,0
858,de,ø,de,de,ø,consigo,con,ø,8,traduction,Non, Non,858,3,0,3,3,0,2,4,0
859,o,o,e,ø,o,o,o,ø,8,traduction,Non, Non,859,3,3,1,0,3,3,3,0
860,en,en,en,en,en,ø,en,ø,8,traduction,Non, Non,860,1,1,1,1,1,0,1,0
861,cosa,cosa,cosa,cosa,cosa,ø,cosa,ø,8,traduction,Oui, Non,861,1,1,1,1,1,0,1,0
862,de,ø,de,de,ø,ø,de,ø,8,traduction,Non, Non,862,2,0,2,2,0,0,2,0
863,ellos,ø,ellos,ellos,ø,ellos,ellos,ø,8,traduction,Non, Non,863,2,0,2,2,0,2,2,0
864,ø,ø,ø,ø,el,ø,ø,ø,8,traduction,Non, Non,864,0,0,0,0,1,0,0,0
865,ø,ý,ø,ø,ý,ø,ø,ø,8,traduction,Non, Non,865,0,1,0,0,1,0,0,0
866,fazer,ø,fazer,fazer,ø,ø,fazer,ø,8,traduction,Oui, Non,866,2,0,2,2,0,0,2,0
867,ø,ø,ø,ø,e,ø,ø,ø,8,traduction,Non, Non,867,0,0,0,0,1,0,0,0
868,ø,a,ø,ø,asiméculas,a,ø,ø,8,traduction,Non, Non,868,0,2,0,0,1,2,0,0
869,e,e,e,e,ø,e,e,ø,8,traduction,Non, Non,869,2,2,2,2,0,2,2,0
870,ø,que,ø,ø,ø,ø,ø,ø,8,traduction,Non, Non,870,0,2,0,0,0,0,0,0
871,ø,ø,ø,ø,ø,es,ø,ø,8,traduction,Non, Non,871,0,0,0,0,0,2,0,0
872,de,ø,de,de,ø,de,de,ø,8,traduction,Non, Non,872,2,0,2,2,0,2,2,0
873,ø,ø,ø,ø,ø,non,ø,ø,8,traduction,Non, Non,873,0,0,0,0,0,2,0,0
874,de,de,de,de,de,ø,de,ø,8,traduction,Non, Non,874,1,1,1,1,1,0,1,0
875,sus,ø,sus,sus,sus,sus,sus,ø,8,traduction,Non, Non,875,1,0,1,1,1,1,1,0
876,sus,sus,sus,sus,ø,sus,sus,ø,8,traduction,Non, Non,876,2,2,2,2,0,2,2,0
877,ø,non,non,non,non,non,ø,ø,8,traduction,Non, Non,877,0,1,1,1,1,1,0,0
878,ø,ø,ø,ø,tomasen,ø,ø,ø,8,traduction,Non, Non,878,0,0,0,0,1,0,0,0
879,muy,muy,muy,muy,ø,muy,muy,ø,8,traduction,Non, Non,879,2,2,2,2,0,2,2,0
880,que,ø,que,que,ø,que,que,ø,8,traduction,Non, Non,880,2,0,2,2,0,2,2,0
881,ø,mucho,ø,ø,ø,ø,ø,ø,8,traduction,Non, Non,881,0,2,0,0,0,0,0,0
882,que,ø,que,que,deven,que,que,ø,8,traduction,Non, Non,882,2,0,2,2,3,2,2,0
883,non,ø,non,non,ø,ø,non,ø,8,traduction,Non, Non,883,2,0,2,2,0,0,2,0
884,ø,tan,ø,ø,tan,ø,ø,ø,8,traduction,Non, Non,884,0,1,0,0,1,0,0,0
885,ø,por,ø,ø,por,ø,ø,ø,8,traduction,Non, Non,885,0,1,0,0,1,0,0,0
886,E,ø,E,E,ø,ø,E,ø,8,traduction,Non, Non,886,2,0,2,2,0,0,2,0
887,ø,a,ø,a,a,a,ø,ø,8,traduction,Non, Non,887,0,1,0,1,1,1,0,0
888,de,de,de,de,de,ø,de,ø,8,traduction,Non, Non,888,1,1,1,1,1,0,1,0
889,ø,ø,ø,ø,que,se,ø,ø,8,traduction,Non, Non,889,0,0,0,0,3,1,0,0
890,ø,ø,ø,ø,así,ø,ø,ø,8,traduction,Non, Non,890,0,0,0,0,1,0,0,0
891,ø,que,ø,ø,que,ø,ø,ø,8,traduction,Non, Non,891,0,1,0,0,1,0,0,0
892,ø,que,ø,que,que,ø,ø,ø,8,traduction,Non, Non,892,0,1,0,1,1,0,0,0
893,porque,ø,porque,por,ø,porque,porque,ø,8,traduction,Non, Non,893,2,0,2,3,0,2,2,0
894,ø,muchos,ø,ø,muchos,ø,ø,ø,8,traduction,Non, Non,894,0,1,0,0,1,0,0,0
895,ø,esta,ø,ø,ø,ø,ø,ø,8,traduction,Non, Non,895,0,2,0,0,0,0,0,0
896,ø,el,el,el,el,el,el,ø,8,traduction,Non, Non,896,0,1,1,1,1,1,1,0
897,ø,se,ø,ø,se,ø,ø,ø,8,traduction,Non, Non,897,0,1,0,0,1,0,0,0
