Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U,Notes,Index
1005,para,a,para,para,a,a,para,ø,7,traduction,Non, Non,1005,2,1,2,2,1,1,2,NA,,1005
1006,a,a,a,a,a,en,a,ø,7,traduction,Non, Non,1006,1,1,1,1,1,2,1,NA,,1006
1007,fablando,fablando,fablando,fablando,fasta,fablando,fablando,ø,7,glose,Oui, Non,1007,2,2,2,2,1,2,2,NA,,1007
1008,materia,materia,materia,materia,manera,manera,materia,ø,7,glose,Oui, Non,1008,2,2,2,2,1,1,2,NA,,1008
1009,antigos,antiguos,antiguos,antiguos,amigos,antiguos,antiguos,ø,7,glose,Non, Non,1009,1,1,1,1,2,1,1,NA,,1009
1010,husados,usados,usados,usados,usados,usados,vsados,ø,7,glose,Non, Non,1010,1,2,2,2,2,2,2,NA,,1010
1011,aquellas,aquellas,aquellas,aquellas,aquellas,aquellas,lo,ø,7,glose,Non, Non,1011,1,1,1,1,1,1,2,NA,,1011
1012,del,de,del,del,de,de,del,ø,7,glose,Non, Non,1012,2,1,2,2,1,1,2,NA,,1012
1013,vso,usó,usó,usó,usó,usó,vso,ø,7,glose,Non, Non,1013,2,1,1,1,1,1,2,NA,,1013
1014,alegres,alegres,alegres,alegres,alegios,alegres,alegres,ø,7,glose,Oui, Non,1014,2,2,2,2,1,2,2,NA,,1014
1015,saltar,saltear,saltar,saltar,saltar,saltar,saltar,ø,7,glose,Non, Non,1015,1,2,1,1,1,1,1,NA,,1015
1016,sarcorio,Sartorio,sartorio,sartorio,ø,saturno,sartorio,ø,7,glose,Non, Non,1016,2,1,1,1,0,3,1,NA,,1016
1017,caualleros,cavalleros,cavalleros,cavalleros,cavalleros,cavallos,caualleros,ø,7,glose,Oui, Non,1017,2,2,2,2,2,1,2,NA,,1017
1018,pone,pone,pone,pone,pone,ponerlos,pone,ø,7,glose,Non, Non,1018,1,1,1,1,1,2,1,NA,,1018
1019,los,los,los,los,los,a,los,ø,7,glose,Non, Non,1019,1,1,1,1,1,2,1,NA,,1019
1020,se,se,sse,se,se,se,se,ø,7,glose,Non, Non,1020,1,1,2,1,1,1,1,NA,,1020
1021,primero,primero,prymero,primero,primero,primero,primero,ø,7,glose,Non, Non,1021,1,1,2,1,1,1,1,NA,,1021
1022,escuchar,escuchar,asechar,escuchar,escuchar,escuchar,escuchar,ø,7,glose,Non, Non,1022,1,1,2,1,1,1,1,NA,,1022
1023,saltear,saltear,saltar,saltear,saltear,saltar,saltear,ø,7,glose,Non, Non,1023,1,1,2,1,1,2,1,NA,,1023
1024,ca,tan,Ca,ca,tan,ca,ca,ø,7,glose,Non, Non,1024,1,2,1,1,2,1,1,NA,,1024
1025,en,en,en,on,en,en,en,ø,7,glose,Non, Non,1025,1,1,1,2,1,1,1,NA,,1025
1026,que,qual,que,que,qual,que,que,ø,7,glose,Non, Non,1026,2,1,2,2,1,2,2,NA,,1026
1027,quinto,v°,v°,v°,v°,quinto,quinto,ø,7,glose,Non, Non,1027,2,1,1,1,1,2,2,NA,,1027
1028,lançar,lançar,lançar,lançar,lançar,lancar,lançar,ø,7,glose,Non, Non,1028,1,1,1,1,1,2,1,NA,,1028
1029,o,o,e,o,o,o,o,ø,7,glose,Non, Non,1029,1,1,2,1,1,1,1,NA,,1029
1030,lancas,lanças,lanças,lanças,lanças,saetas,lanças,ø,7,glose,Non, Non,1030,1,1,1,1,1,2,1,NA,,1030
1031,con,en,con,con,con,con,con,ø,7,glose,Non, Non,1031,1,2,1,1,1,1,1,NA,,1031
1032,fieren,fieren,fieren,fieren,fieren,fiere,fieren,ø,7,glose,Non, Non,1032,1,1,1,1,1,2,1,NA,,1032
1033,muslos,muslos,muslos,muslos,muslos,piernas,muslos,ø,7,glose,Non, Non,1033,1,1,1,1,1,2,1,NA,,1033
1034,han,ay,an,han,han,van,han,ø,7,glose,Non, Non,1034,1,2,1,1,1,3,1,NA,,1034
1035,vso,uso,uso,uso,uso,uso,vso,ø,7,glose,Non, Non,1035,2,1,1,1,1,1,2,NA,,1035
1036,del,de,del,del,del,del,del,ø,7,glose,Non, Non,1036,1,2,1,1,1,1,1,NA,,1036
1037,este,este,este,este,este,este,eneste,ø,7,glose,Non, Non,1037,1,1,1,1,1,1,2,NA,,1037
1038,eso,esto,eso,esso,eso,eso,esso,ø,7,glose,Non, Non,1038,1,2,1,1,1,1,1,NA,,1038
1039,non,nós,non,non,non,non,no,ø,7,glose,Non, Non,1039,1,2,1,1,1,1,1,NA,,1039
1040,temore,temor,temor,temor,temor,temor,temor,ø,7,glose,Non, Non,1040,2,1,1,1,1,1,1,NA,,1040
1041,enoblesçidos,ennoblesçidos,enoblescidos,ennobleçidos,ennobleçidos,enobleçidos,ennoblescidos,ø,7,glose,Non, Non,1041,1,3,3,1,1,2,1,NA,,1041
1042,e,en,en,en,en,en,en,ø,7,glose,Non, Non,1042,2,1,1,1,1,1,1,NA,,1042
1043,de,de,de,de,de,en,de,ø,7,glose,Non, Non,1043,1,1,1,1,1,2,1,NA,,1043
1044,tenple,tenplo,Tenple,tenple,tenplo,tenplo,tenple,ø,7,glose,Non, Non,1044,1,1,1,1,1,1,1,NA,,1044
1045,el,el,el,el,quel,el,el,ø,7,glose,Non, Non,1045,2,2,2,2,1,2,2,NA,,1045
1046,del,del,del,de,del,del,del,ø,7,glose,Non, Non,1046,1,1,1,2,1,1,1,NA,,1046
1047,calura,calentura,calura,calura,calentura,calentura,calura,ø,7,glose,Oui, Non,1047,2,1,2,2,1,1,2,NA,,1047
1048,quinto,v°,v°,v°,quinto,quinto,quinto,ø,7,glose,Non, Non,1048,1,2,2,2,1,1,1,NA,,1048
1049,sesto,vi°,vi°,vi°,sesto,sesto,sexto,ø,7,glose,Non, Non,1049,2,2,2,2,2,2,1,NA,,1049
1050,el,e,el,el,quel,el,el,ø,7,glose,Non, Non,1050,3,2,3,3,1,3,3,NA,,1050
1051,enel,en,en,en,en,en,en,ø,7,glose,Non, Non,1051,2,1,1,1,1,1,1,NA,,1051
1052,y,ý,y,ý,ya,ya,y,ø,7,glose,Non, Non,1052,4,2,3,2,1,1,4,NA,,1052
1053,para,por,para,para,ø,para,para,ø,7,glose,Non, Non,1053,1,2,1,1,0,1,1,NA,,1053
1054,ca,ca,Ca,e,ø,ca,Ca,ø,7,glose,Non, Non,1054,1,1,1,2,0,1,1,NA,,1054
1055,aun,aun,aun,aún,ø,aun,avn,ø,7,glose,Non, Non,1055,1,1,1,1,0,1,2,NA,,1055
1056,arados,arados,arados,arados,ø,que,arados,ø,7,glose,Non, Non,1056,2,2,2,2,0,1,2,NA,,1056
1057,los,los,los,los,ø,aravan,los,ø,7,glose,Non, Non,1057,2,2,2,2,0,1,2,NA,,1057
1058,para,para,para,para,por,para,para,ø,7,glose,Non, Non,1058,2,2,2,2,1,2,2,NA,,1058
1059,cabdillos,cabdiellos,cabdillos,caudillos,cadillos,cabdillos,cabdillos,ø,7,glose,Non, Non,1059,2,2,2,2,1,2,2,NA,,1059
1060,a,de,a,a,de,a,a,ø,7,glose,Non, Non,1060,2,1,2,2,1,2,2,NA,,1060
1061,ociosos,oçiosos,obçiosos,oçiosos,oçiosos,viçioso,ociosos,ø,7,glose,Non, Non,1061,1,1,1,1,1,2,1,NA,,1061
1062,en,en,en,ø,con,en,en,ø,7,glose,Non, Non,1062,2,2,2,0,1,2,2,NA,,1062
1063,viij°,viii°,viii°,viii°,viii°,viii,viij,ø,8,,Non, Non,1063,1,3,3,3,3,2,2,NA,,1063
1064,do,do,do,do,do,quán,do,ø,8,,Non, Non,1064,1,1,1,1,1,2,1,NA,,1064
1065,muestra,muestra,muestra,muestra,muestra,provechosa,muestra,ø,8,,Oui, Non,1065,1,1,1,1,1,2,1,NA,,1065
1066,carcauas,cavas,carcavas,carcavas,cavas,cavas,carcauas,ø,8,,Oui, Non,1066,2,1,3,3,1,1,2,NA,,1066
1067,qual,quál,quál,quál,qué,qué,qual,ø,8,,Non, Non,1067,2,2,2,2,1,1,2,NA,,1067
1068,menester,menester,mester,menester,menester,ø,menester,ø,8,,Non, Non,1068,1,1,2,1,1,0,1,NA,,1068
1069,ø,ø,ø,ø,n,e,ø,ø,8,traduction,Non, Non,1069,0,0,0,0,2,1,0,NA,,1069
1070,ø,ø,ø,ø,de,notar,ø,ø,8,traduction,Non, Non,1070,0,0,0,0,2,1,0,NA,,1070
1071,ø,notar,ø,ø,notar,conviene,ø,ø,8,traduction,Non, Non,1071,0,1,0,0,1,2,0,NA,,1071
1072,quatro,quatro,quatro,iiii°,quatro,quatro,quatro,ø,8,traduction,Non, Non,1072,1,1,1,2,1,1,1,NA,,1072
1073,carcauas,carcavas,carcavas,carcavas,catravas,carcavas,carcauas,ø,8,traduction,Non, Non,1073,3,1,1,1,2,1,3,NA,,1073
1074,do,Do,do,do,do,do,do,ø,8,traduction,Non, Non,1074,1,2,1,1,1,1,1,NA,,1074
1075,e,e,o,e,o,et,e,ø,8,traduction,Non, Non,1075,1,1,3,1,3,2,1,NA,,1075
1076,que,que,que,que,que,ca,que,ø,8,traduction,Non, Non,1076,1,1,1,1,1,2,1,NA,,1076
1077,e,e,e,e,e,o,e,ø,8,traduction,Non, Non,1077,1,1,1,1,1,2,1,NA,,1077
1078,buscar,buscar,buscar,buscar,usar,buscar,buscar,ø,8,traduction,Oui, Non,1078,2,2,2,2,1,2,2,NA,,1078
1079,conteçen,contesçe,contesçe,conteçen,conteçe,contesçe,acontesce,ø,8,traduction,Non, Non,1079,3,2,2,3,2,2,1,NA,,1079
1080,carcavas,carcavas,carcavas,carcavas,catravas,carcavas,carcauas,ø,8,traduction,Oui, Non,1080,2,2,2,2,1,2,2,NA,,1080
1081,posar,posar,pasar,posar,posar,pasar,posar,ø,8,traduction,Oui, Non,1081,1,1,2,1,1,2,1,NA,,1081
1082,deuen,deven,deven,deve,deven,an,deuen,ø,8,traduction,Oui, Non,1082,3,3,3,1,3,2,3,NA,,1082
1083,es,en,es,es,es,es,es,ø,8,traduction,Non, Non,1083,1,2,1,1,1,1,1,NA,,1083
1084,o,o,e,o,e,e,e,ø,8,traduction,Non, Non,1084,2,2,1,2,1,1,1,NA,,1084
1085,que,que,que,que,que,et,que,ø,8,traduction,Non, Non,1085,1,1,1,1,1,2,1,NA,,1085
1086,si,sý,sí,sý,sí,sý,sy,ø,8,traduction,Non, Non,1086,1,1,1,1,1,1,2,NA,,1086
1087,para,para,para,para,para,por,para,ø,8,traduction,Non, Non,1087,1,1,1,1,1,2,1,NA,,1087
1088,leuar,llevar,levar,levar,levar,levar,leuar,ø,8,traduction,Non, Non,1088,2,1,2,2,2,2,2,NA,,1088
1089,donde,donde,donde,donde,donde,donde,que,ø,8,traduction,Non, Non,1089,1,1,1,1,1,1,2,NA,,1089
1090,o,e,o,o,e,e,o,ø,8,traduction,Non, Non,1090,2,1,2,2,1,1,2,NA,,1090
1091,ligera,ligera,ligera,ligera,ligera,ligeramente,ligera,ø,8,traduction,Non, Non,1091,1,1,1,1,1,2,1,NA,,1091
1092,e,o,e,e,o,e,e,ø,8,traduction,Non, Non,1092,2,1,2,2,1,2,2,NA,,1092
1093,e,o,e,e,o,e,e,ø,8,traduction,Non, Non,1093,2,1,2,2,1,2,2,NA,,1093
1094,E,Et,Et,e,e,o,E,ø,8,traduction,Non, Non,1094,1,2,2,1,1,3,1,NA,,1094
1095,caso,caso,caso,cosa,caso,cosa,caso,ø,8,traduction,Non, Non,1095,1,1,1,2,1,2,1,NA,,1095
1096,apartada,aprestada,apartada,apartada,aprestada,aprestada,apartada,ø,8,traduction,Oui, Non,1096,2,1,2,2,1,1,2,NA,,1096
1097,contra,con,contra,contra,con,contra,contra,ø,8,traduction,Oui, Non,1097,2,1,2,2,1,2,2,NA,,1097
1098,maestros,mayores,maestros,maestros,mayores,maestros,maestros,ø,8,traduction,Oui, Non,1098,2,1,2,2,1,2,2,NA,,1098
1099,acuçien,acuçien,acuçien,acuçien,acusen,acuçien,acucien,ø,8,traduction,Oui, Non,1099,2,2,2,2,1,2,2,NA,,1099
1100,do,do,donde,donde,do,donde,do,ø,8,traduction,Non, Non,1100,1,1,2,2,1,2,1,NA,,1100
1101,asentar,asentar,asentar,asentar,asentar,sentar,asentar,ø,8,traduction,Non, Non,1101,1,1,1,1,1,2,1,NA,,1101
1102,si,que,sy,que,que,que,si,ø,8,traduction,Non, Non,1102,1,2,1,2,2,2,1,NA,,1102
1103,y,ay,ý,ý,ý,ý,y,ø,8,traduction,Non, Non,1103,3,2,1,1,1,1,3,NA,,1103
1104,abondançia,abondança,,abundançia,abondo,abondança,abundancia,ø,8,traduction,Non, Non,1104,1,1,2,1,3,1,1,NA,,1104
1105,a,a,para,a,a,ø,a,ø,8,traduction,Non, Non,1105,1,1,2,1,1,0,1,NA,,1105
1106,asenten,asienten,asienten,asienten,asienten,asienten,asienten,ø,8,traduction,Non, Non,1106,2,1,1,1,1,1,1,NA,,1106
1107,cerca,açerca,cerca,çerca,çerca,çerca,cerca,ø,8,traduction,Non, Non,1107,2,1,2,2,2,2,2,NA,,1107
1108,donde,do,donde,donde,do,donde,donde,ø,8,traduction,Oui, Non,1108,2,1,2,2,1,2,2,NA,,1108
1109,espacio,espaçio,espaçio,espaçio,espaçio,espaçio,espacio,ø,8,traduction,Non, Non,1109,2,1,1,1,1,1,2,NA,,1109
1110,quanto,quanto,quanto,quanto,quanto,quando,quanto,ø,8,traduction,Non, Non,1110,1,1,1,1,1,2,1,NA,,1110
1111,nin,e,et,e,e,et,nin,ø,8,traduction,Non, Non,1111,2,1,3,1,1,3,2,NA,,1111
1112,dar,entrar,dar,dar,entrar,dar,dar,ø,8,traduction,Non, Non,1112,2,1,2,2,1,2,2,NA,,1112
1113,apretados,apretados,apertados,apretados,apretados,apretados,apretados,ø,8,traduction,Non, Non,1113,1,1,2,1,1,1,1,NA,,1113
1114,avn,aun,aún,aún,aún,aún,avn,ø,8,traduction,Non, Non,1114,2,1,1,1,1,1,2,NA,,1114
1115,del,al,al,del,al,al,del,ø,8,traduction,Non, Non,1115,2,1,1,2,1,1,2,NA,,1115
1116,del,el,del,del,el,del,del,ø,8,traduction,Non, Non,1116,2,1,2,2,1,2,2,NA,,1116
1117,fediendo,corrupto,fediondo,fediondo,corrubto,fediondo,fediondo,ø,8,traduction,Oui, Non,1117,3,1,3,3,1,3,3,NA,,1117
1118,han,han,an,han,han,deven,han,ø,8,traduction,Oui, Non,1118,1,1,1,1,1,2,1,NA,,1118
1119,asentar,asentar,asentar,asentar,asentar,sentar,asentar,ø,8,traduction,Non, Non,1119,1,1,1,1,1,2,1,NA,,1119
1120,carcavas,carcavas,carcavas,carcavas,catravas,carcavas,carcauas,ø,8,traduction,Non, Non,1120,1,1,1,1,2,1,1,NA,,1120
1121,ser,ser,ser,ser,ser,fazer,ser,ø,8,traduction,Non, Non,1121,1,1,1,1,1,2,1,NA,,1121
1122,quadrada,guardada,quadrada,quadrada,guardada,quadrado,quadrada,ø,8,traduction,Oui, Non,1122,3,1,3,3,1,2,3,NA,,1122
1123,en,de,en,de,de,de,en,ø,8,traduction,Non, Non,1123,2,1,2,1,1,1,2,NA,,1123
1124,que,que,que,de,que,que,que,ø,8,traduction,Non, Non,1124,1,1,1,2,1,1,1,NA,,1124
1125,figura,figura,figura,figura,figura,forma,figura,ø,8,traduction,Oui, Non,1125,1,1,1,1,1,2,1,NA,,1125
1126,han,han,an,han,han,en,han,ø,8,traduction,Oui, Non,1126,1,1,1,1,1,2,1,NA,,1126
1127,miedo,miedo,miedo,miedo,miedo,medio,miedo,ø,8,traduction,Oui, Non,1127,1,1,1,1,1,2,1,NA,,1127
1128,o,con,a,a,con,a,a,ø,8,traduction,Non, Non,1128,2,3,1,1,3,1,1,NA,,1128
1129,enel,en,en,en,en,en,en,ø,8,traduction,Non, Non,1129,2,1,1,1,1,1,1,NA,,1129
1130,do,do,do,do,do,de,do,ø,8,traduction,Non, Non,1130,1,1,1,1,1,2,1,NA,,1130
1131,deuen,dévense,deven,deven,dévense,deven,deuen,ø,8,traduction,Non, Non,1131,2,1,2,2,1,2,2,NA,,1131
1132,semicirculos,semiçírculos,serviçículos,semiçírculos,ø,,semicirculos,ø,8,traduction,Non, Non,1132,4,1,3,1,0,2,4,NA,,1132
1133,a,a,a,a,la,a,a,ø,8,traduction,Non, Non,1133,2,2,2,2,1,2,2,NA,,1133
1134,forma,figura,forma,forma,figura,forma,forma,ø,8,traduction,Non, Non,1134,2,1,2,2,1,2,2,NA,,1134
1135,triangular,triangular,triangular,triangular,teniglar,triangular,triangular,ø,8,traduction,Oui, Non,1135,2,2,2,2,1,2,2,NA,,1135
1136,alli,allí,allí,allí,ý,allý,alli,ø,8,traduction,Non, Non,1136,2,2,2,2,1,2,2,NA,,1136
1137,do,do,do,do,ó,ø,do,ø,8,traduction,Non, Non,1137,1,1,1,1,2,0,1,NA,,1137
1138,contͬa,contra,contra,contra,contra,contra,contra,ø,8,traduction,Non, Non,1138,2,1,1,1,1,1,1,NA,,1138
1139,de,de,de,de,de,para,de,ø,8,traduction,Non, Non,1139,1,1,1,1,1,2,1,NA,,1139
1140,alegrar,allegar,alegrar,alegrar,ø,alegrar,alegrar,ø,8,traduction,Oui, Non,1140,2,1,2,2,0,2,2,NA,,1140
1141,por,por,de,por,por,por,por,ø,8,traduction,Non, Non,1141,1,1,2,1,1,1,1,NA,,1141
1142,señas,señales,señas,señas,señales,señales,señas,ø,8,traduction,Non, Non,1142,2,1,2,2,1,1,2,NA,,1142
1143,ha,ha,ha,ha,ha,a,ha,ø,8,traduction,Non, Non,1143,1,1,1,1,1,2,1,NA,,1143
1144,carcauas,carcavas,cavas,carcavas,carcavas,carcavas,carcauas,ø,8,traduction,Non, Non,1144,2,2,1,2,2,2,2,NA,,1144
1145,castillos,castigos,castillos,castillos,castillos,castillos,castillos,ø,8,traduction,Oui, Non,1145,1,2,1,1,1,1,1,NA,,1145
1146,cauas,carcavas,cavas,cavas,ø,carcavas,cauas,ø,8,traduction,Non, Non,1146,1,2,1,1,0,2,1,NA,,1146
1147,ta,tan,tan,tan,ø,tan,tan,ø,8,traduction,Non, Non,1147,2,1,1,1,0,1,1,NA,,1147
1148,vegeçio,ay,Vegeçio,Vegeçio,ø,Vejeçio,Vegecio,ø,8,traduction,Non, Non,1148,1,3,1,1,0,1,2,NA,,1148
1149,carcaua,carcava,carcava,carcavas,carcava,carcava,carcaua,ø,8,traduction,Non, Non,1149,2,3,3,1,3,3,2,NA,,1149
1150,mas,muy,más,más,muy,más,mas,ø,8,traduction,Non, Non,1150,1,2,1,1,2,1,1,NA,,1150
1151,mas,ø,más,más,deven,más,mas,ø,8,traduction,Non, Non,1151,1,0,1,1,2,1,1,NA,,1151
1152,fonda,ø,fonda,fonda,echar,fonda,fonda,ø,8,traduction,Non, Non,1152,2,0,2,2,1,2,2,NA,,1152
1153,asi,asý,ø,así,dentro,asý,asy,ø,8,traduction,Non, Non,1153,1,1,0,1,2,1,1,NA,,1153
1154,dentro,dentro,adentro,dentro,dentro,dentro,dentro,ø,8,traduction,Non, Non,1154,1,1,2,1,1,1,1,NA,,1154
1155,fazer,fazerse,fazerse,fazerse,fazerse,fazerla,fazerse,ø,8,traduction,Non, Non,1155,2,1,1,1,1,3,1,NA,,1155
1156,ha,a,a,ha,ha,ø,ha,ø,8,traduction,Non, Non,1156,2,1,1,2,2,0,2,NA,,1156
1157,treze,xiii,treze,xiii,treze,treze,treze,ø,8,traduction,Non, Non,1157,1,2,1,2,1,1,1,NA,,1157
1158,lançaren,lançaren,lançaren,lancaren,lançaren,lançaren,lançaren,ø,8,traduction,Non, Non,1158,1,1,1,2,1,1,1,NA,,1158
1159,hueste,hueste,hueste,hueste,hueste,enemigos,hueste,ø,8,traduction,Oui, Non,1159,1,1,1,1,1,2,1,NA,,1159
1160,do,do,do,do,do,aunque,do,ø,8,traduction,Non, Non,1160,1,1,1,1,1,2,1,NA,,1160
1161,guarniçiones,guarniçiones,guarniçiones,guarniçiones,gravezas,guarniçiones,guarniciones,ø,8,traduction,Oui, Non,1161,1,1,1,1,2,1,1,NA,,1161
1162,postura,apostura,postura,apostura,apostura,postura,apostura,ø,8,glose,Non, Non,1162,2,1,1,1,1,2,1,NA,,1162
1163,dellas,della,dellas,dellas,della,dellas,dellas,ø,8,glose,Non, Non,1163,2,1,2,2,1,2,2,NA,,1163
1164,postura,apostura,apostura,apostura,apostura,postura,apostura,ø,8,glose,Non, Non,1164,2,1,1,1,1,2,1,NA,,1164
1165,feridos,feridos,feridos,feridos,feridos,perdidos,feridos,ø,8,glose,Oui, Non,1165,1,1,1,1,1,2,1,NA,,1165
1166,brafoneras,brahañas,brafoneras,brafoneras,brafoneras,brafoneras,brahoneras,ø,8,glose,Non, Non,1166,2,1,2,2,2,2,2,NA,,1166
1167,luas,lúas,lúas,lúas,,lúas,luas,ø,8,glose,Non, Non,1167,2,2,2,2,1,2,2,NA,,1167
1168,Ca,ca,Ca,ca,ca,Onde,Ca,ø,8,glose,Non, Non,1168,2,2,2,2,2,1,2,NA,,1168
1169,apostura,apostura,apostura,apostura,apostura,postura,apostura,ø,8,glose,Non, Non,1169,1,1,1,1,1,2,1,NA,,1169
1170,pintadas,fermosas,fermosas,fermosas,fermosas,fermosas,pintadas,ø,8,glose,Non, Non,1170,2,1,1,1,1,1,2,NA,,1170
1171,fermosas,pintadas,pintadas,pintadas,pyntadas,pintadas,fermosas,ø,8,glose,Non, Non,1171,2,1,1,1,1,1,2,NA,,1171
1172,al,a,al,al,a,al,al,ø,8,glose,Non, Non,1172,2,1,2,2,1,2,2,NA,,1172
1173,conellas,ellas,ellos,ellas,ellas,ellas,ellas,ø,8,glose,Non, Non,1173,2,3,1,3,3,3,3,NA,,1173
1174,e,e,o,e,e,et,e,ø,8,glose,Non, Non,1174,1,1,3,1,1,2,1,NA,,1174
1175,otro,otro,otro,otro,otro,Aníbal,otro,ø,8,glose,Non, Non,1175,1,1,1,1,1,2,1,NA,,1175
1176,muchedunbre,muchedunbre,muchedunbre,muchedunbre,muchedunbre,costunbre,muchedunbre,ø,8,glose,Oui, Non,1176,1,1,1,1,1,2,1,NA,,1176
1177,prea,primera,pre,prea,primera,prea,prea,ø,8,glose,Non, Non,1177,2,1,2,2,1,2,2,NA,,1177
1178,denostolos,denostólos,denostólos,denostóles,denostólos,denostólos,denostolos,ø,8,glose,Non, Non,1178,1,1,1,2,1,1,1,NA,,1178
1179,Ca,Ca,Ca,Ca,ca,Et,Ca,ø,8,glose,Non, Non,1179,1,1,1,1,1,2,1,NA,,1179
1180,est,estudiese,estoviese,estoviesse,estudiese,estudiese,estuuiese,ø,8,glose,Non, Non,1180,1,2,2,2,2,2,2,NA,,1180
1181,esto,esto,esto,esto,eso,esto,esto,ø,8,glose,Non, Non,1181,2,2,2,2,1,2,2,NA,,1181
1182,brauamente,buenamente,bravamente,bravamente,buenamente,bravamente,brauamente,ø,8,glose,Non, Non,1182,1,3,2,2,3,2,1,NA,,1182
1183,curiosos,curiosos,coriosos,curiosos,catiosos,curiosos,curiosos,ø,8,glose,Non, Non,1183,2,2,1,2,3,2,2,NA,,1183
1184,paresçençia,aparençia,paresçençia,pareçençia,ø,aparesçençia,parescencia,ø,8,glose,Non, Non,1184,1,3,1,1,0,2,1,NA,,1184
1185,e,o,o,e,o,o,o,ø,8,glose,Non, Non,1185,2,1,1,2,1,1,1,NA,,1185
1186,qujeren,quieren,quieren,quieren,quieren,quieren,quieren,ø,8,glose,Non, Non,1186,2,1,1,1,1,1,1,NA,,1186
1187,en,en,en,en,en,con,en,ø,8,glose,Non, Non,1187,1,1,1,1,1,2,1,NA,,1187
1188,si,sy,sy,sy,así,sy,sy,ø,8,glose,Non, Non,1188,1,1,1,1,2,1,1,NA,,1188
1189,muy,mucho,muy,muy,mucho,muy,muy,ø,8,glose,Non, Non,1189,2,1,2,2,1,2,2,NA,,1189
1190,conponense,conpónense,conpónense,conponense,conpónense,compónense,conponen,ø,8,glose,Non, Non,1190,1,1,1,1,1,1,2,NA,,1190
1191,por,por,por,por,por,porque,por,ø,8,glose,Non, Non,1191,1,1,1,1,1,2,1,NA,,1191
1192,preçiar,despreçias,despreçiar,despreçiar,despreçiar,despreçiar,despreciar,ø,8,glose,Non, Non,1192,1,2,3,3,3,3,3,NA,,1192
1193,en,en,en,en,de,en,en,ø,8,glose,Non, Non,1193,2,2,2,2,1,2,2,NA,,1193
1194,moniçion,moniçión,moniçión,moniçión,moniçión,,monicion,ø,8,glose,Oui, Non,1194,1,1,1,1,1,2,1,NA,,1194
1195,del,del,del,de,del,del,del,ø,8,glose,Non, Non,1195,1,1,1,2,1,1,1,NA,,1195
1196,tenple,temple,Tenple,tenple,,tenplo,temple,ø,8,glose,Non, Non,1196,2,2,2,2,1,1,2,NA,,1196
1197,dize,a,dize,dize,a,a,dize,ø,8,glose,Non, Non,1197,2,1,2,2,1,1,2,NA,,1197
1198,conponedes,conponedes,conponedes,componedes,conponedes,conponedes,conponedes,ø,8,glose,Non, Non,1198,1,1,1,2,1,1,1,NA,,1198
1199,ouiesedes,oviésedes,oviésedes,quissiedes,oviésedes,oviéredes,ouiesedes,ø,8,glose,Non, Non,1199,3,1,1,2,1,4,3,NA,,1199
1200,armas,armas,armas,armas,armas,armaduras,armas,ø,8,glose,Oui, Non,1200,1,1,1,1,1,2,1,NA,,1200
1201,E,e,et,e,Et,o,O,ø,8,glose,Non, Non,1201,1,1,2,1,2,3,3,NA,,1201
1202,auentura,aventura,aventura,aventura,ventura,ventura,aventura,ø,8,glose,Non, Non,1202,2,2,2,2,1,1,2,NA,,1202
1203,el,al,el,el,quel,el,el,ø,8,glose,Non, Non,1203,3,2,3,3,1,3,3,NA,,1203
1204,auera,avrá,averá,ø,abrá,avrá,auera,ø,8,glose,Non, Non,1204,2,2,2,0,1,2,2,NA,,1204
1205,verguença,verguença,vergueña,ø,vergüença,vengança,verguença,ø,8,glose,Oui, Non,1205,2,2,2,0,1,3,2,NA,,1205
1206,del,de,de,ø,de,del,del,ø,8,glose,Non, Non,1206,1,2,2,0,2,1,1,NA,,1206
1207,y,e,o,ø,e,o,e,ø,8,glose,Non, Non,1207,2,1,3,0,1,3,1,NA,,1207
1208,O,O,Et,ø,e,o,O,ø,8,glose,Non, Non,1208,3,3,2,0,1,3,3,NA,,1208
1209,el,el,el,ø,quel,el,el,ø,8,glose,Non, Non,1209,2,2,2,0,1,2,2,NA,,1209
1210,el,el,al,el,el,el,el,ø,8,glose,Non, Non,1210,1,1,2,1,1,1,1,NA,,1210
1211,brauamente,bravamente,bravamente,bravamente,bravamente,bravamente,brauamente,ø,8,glose,Non, Non,1211,2,1,1,1,1,1,2,NA,,1211
1212,paresçeredes,paresçedes,paresçeredes,pareçedes,pareçeredes,paresçedes,paresceredes,ø,8,glose,Non, Non,1212,3,1,3,1,2,1,3,NA,,1212
1213,quarto,iiii°,iiii°,iiii°,iiii°,quatro,quarto,ø,8,glose,Non, Non,1213,2,2,2,2,2,1,2,NA,,1213
1214,a,a,a,a,a,,a,ø,8,glose,Non, Non,1214,1,1,1,1,1,2,1,NA,,1214
1215,pintado,pintado,pyntado,pintado,pintado,pintado,pintado,ø,8,glose,Non, Non,1215,1,1,2,1,1,1,1,NA,,1215
1216,defendimento,defendimiento,defendimiento,defendimiento,defendimiento,defendimiento,defendimiento,ø,8,glose,Non, Non,1216,2,1,1,1,1,1,1,NA,,1216
1217,le,le,le,le,lo,lo,le,ø,8,glose,Non, Non,1217,2,2,2,2,1,1,2,NA,,1217
